,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Tennessee Whiskey,Chris Stapleton,Traveller,"{'danceability': 0.392, 'energy': 0.37, 'key': 9, 'loudness': -10.888, 'mode': 1, 'speechiness': 0.0298, 'acousticness': 0.205, 'instrumentalness': 0.0096, 'liveness': 0.0821, 'valence': 0.512, 'tempo': 48.718, 'type': 'audio_features', 'id': '3fqwjXwUGN6vbzIwvyFMhx', 'uri': 'spotify:track:3fqwjXwUGN6vbzIwvyFMhx', 'track_href': 'https://api.spotify.com/v1/tracks/3fqwjXwUGN6vbzIwvyFMhx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3fqwjXwUGN6vbzIwvyFMhx', 'duration_ms': 293293, 'time_signature': 4}",78,83,contemporary country,293293,2015-05-04
1,I'd Rather Go Blind,Etta James,Tell Mama The Complete Muscle Shoals Sessions,"{'danceability': 0.539, 'energy': 0.398, 'key': 9, 'loudness': -6.513, 'mode': 1, 'speechiness': 0.0253, 'acousticness': 0.661, 'instrumentalness': 0.000519, 'liveness': 0.191, 'valence': 0.588, 'tempo': 81.579, 'type': 'audio_features', 'id': '7keRsHHqmuFRv8agWvaYxE', 'uri': 'spotify:track:7keRsHHqmuFRv8agWvaYxE', 'track_href': 'https://api.spotify.com/v1/tracks/7keRsHHqmuFRv8agWvaYxE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7keRsHHqmuFRv8agWvaYxE', 'duration_ms': 156667, 'time_signature': 3}",65,0,jazz blues,156666,1968-08-21
2,When the Hurt Is Over,Mighty Sam McClain,Sledgehammer Soul and Down Home Blues,"{'danceability': 0.505, 'energy': 0.129, 'key': 9, 'loudness': -18.277, 'mode': 0, 'speechiness': 0.0401, 'acousticness': 0.629, 'instrumentalness': 0.000508, 'liveness': 0.0868, 'valence': 0.252, 'tempo': 142.892, 'type': 'audio_features', 'id': '4Ja8Kgt3UEVd22kGfVBQ6g', 'uri': 'spotify:track:4Ja8Kgt3UEVd22kGfVBQ6g', 'track_href': 'https://api.spotify.com/v1/tracks/4Ja8Kgt3UEVd22kGfVBQ6g', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4Ja8Kgt3UEVd22kGfVBQ6g', 'duration_ms': 484960, 'time_signature': 3}",26,2,soul blues,484960,1996-01-01
3,Iron Sky,Paolo Nutini,Caustic Love,"{'danceability': 0.395, 'energy': 0.625, 'key': 1, 'loudness': -7.134, 'mode': 0, 'speechiness': 0.0341, 'acousticness': 0.242, 'instrumentalness': 0.00124, 'liveness': 0.11, 'valence': 0.314, 'tempo': 139.729, 'type': 'audio_features', 'id': '5EpP1lwkAnOAKbfAHUNJkI', 'uri': 'spotify:track:5EpP1lwkAnOAKbfAHUNJkI', 'track_href': 'https://api.spotify.com/v1/tracks/5EpP1lwkAnOAKbfAHUNJkI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5EpP1lwkAnOAKbfAHUNJkI', 'duration_ms': 373133, 'time_signature': 4}",62,45,british soul,373133,2014-04-14
4,Still Got The Blues,Gary Moore,Still Got The Blues,"{'danceability': 0.189, 'energy': 0.39, 'key': 9, 'loudness': -14.497, 'mode': 0, 'speechiness': 0.0353, 'acousticness': 0.257, 'instrumentalness': 0.000152, 'liveness': 0.122, 'valence': 0.32, 'tempo': 169.563, 'type': 'audio_features', 'id': '0DnGfA1r8pAssJCuq4ojla', 'uri': 'spotify:track:0DnGfA1r8pAssJCuq4ojla', 'track_href': 'https://api.spotify.com/v1/tracks/0DnGfA1r8pAssJCuq4ojla', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0DnGfA1r8pAssJCuq4ojla', 'duration_ms': 370867, 'time_signature': 3}",53,65,blues rock,370866,1990-01-01
5,Little Wing,Stevie Ray Vaughan,Couldn't Stand The Weather (Legacy Edition),"{'danceability': 0.475, 'energy': 0.383, 'key': 1, 'loudness': -14.202, 'mode': 1, 'speechiness': 0.0375, 'acousticness': 0.362, 'instrumentalness': 0.749, 'liveness': 0.0728, 'valence': 0.524, 'tempo': 114.709, 'type': 'audio_features', 'id': '5XNpdKmlLJPUbwKQceX2tW', 'uri': 'spotify:track:5XNpdKmlLJPUbwKQceX2tW', 'track_href': 'https://api.spotify.com/v1/tracks/5XNpdKmlLJPUbwKQceX2tW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5XNpdKmlLJPUbwKQceX2tW', 'duration_ms': 408480, 'time_signature': 4}",58,58,album rock,408480,1984
6,Lonely Bed,Albert Cummings,True To Yourself,"{'danceability': 0.487, 'energy': 0.538, 'key': 5, 'loudness': -7.429, 'mode': 0, 'speechiness': 0.0397, 'acousticness': 0.33, 'instrumentalness': 0.00609, 'liveness': 0.103, 'valence': 0.269, 'tempo': 118.039, 'type': 'audio_features', 'id': '2glwN5raCeEn0EdjKrNw6i', 'uri': 'spotify:track:2glwN5raCeEn0EdjKrNw6i', 'track_href': 'https://api.spotify.com/v1/tracks/2glwN5raCeEn0EdjKrNw6i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2glwN5raCeEn0EdjKrNw6i', 'duration_ms': 456947, 'time_signature': 3}",34,50,electric blues,456946,2004-08-31
7,Affection,Cigarettes After Sex,Affection,"{'danceability': 0.415, 'energy': 0.425, 'key': 7, 'loudness': -11.232, 'mode': 1, 'speechiness': 0.025, 'acousticness': 0.497, 'instrumentalness': 0.908, 'liveness': 0.105, 'valence': 0.248, 'tempo': 89.839, 'type': 'audio_features', 'id': '4eVNSHRazoHgfYGv3AYFyZ', 'uri': 'spotify:track:4eVNSHRazoHgfYGv3AYFyZ', 'track_href': 'https://api.spotify.com/v1/tracks/4eVNSHRazoHgfYGv3AYFyZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4eVNSHRazoHgfYGv3AYFyZ', 'duration_ms': 311000, 'time_signature': 4}",79,0,ambient pop,311000,2015-10-05
8,Gravity,John Mayer,Continuum,"{'danceability': 0.753, 'energy': 0.326, 'key': 7, 'loudness': -9.883, 'mode': 1, 'speechiness': 0.0342, 'acousticness': 0.731, 'instrumentalness': 0.00131, 'liveness': 0.24, 'valence': 0.237, 'tempo': 123.799, 'type': 'audio_features', 'id': '3SktMqZmo3M9zbB7oKMIF7', 'uri': 'spotify:track:3SktMqZmo3M9zbB7oKMIF7', 'track_href': 'https://api.spotify.com/v1/tracks/3SktMqZmo3M9zbB7oKMIF7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3SktMqZmo3M9zbB7oKMIF7', 'duration_ms': 245827, 'time_signature': 3}",73,72,neo mellow,245826,2006-09-11
9,She's Crazy,JT Coldfire,Crazy Sun,"{'danceability': 0.609, 'energy': 0.171, 'key': 5, 'loudness': -14.006, 'mode': 0, 'speechiness': 0.0368, 'acousticness': 0.808, 'instrumentalness': 0.0986, 'liveness': 0.0778, 'valence': 0.21, 'tempo': 138.071, 'type': 'audio_features', 'id': '5tRNgEl5hyFr7E2Adt7dhT', 'uri': 'spotify:track:5tRNgEl5hyFr7E2Adt7dhT', 'track_href': 'https://api.spotify.com/v1/tracks/5tRNgEl5hyFr7E2Adt7dhT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5tRNgEl5hyFr7E2Adt7dhT', 'duration_ms': 323253, 'time_signature': 3}",28,48,,323253,2011-01-03
