,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Blinding Lights,The Weeknd,After Hours,"{'danceability': 0.513, 'energy': 0.73, 'key': 1, 'loudness': -5.94, 'mode': 1, 'speechiness': 0.0598, 'acousticness': 0.00143, 'instrumentalness': 9.54e-05, 'liveness': 0.0897, 'valence': 0.334, 'tempo': 171.001, 'type': 'audio_features', 'id': '0VjIjW4GlUZAMYd2vXMi3b', 'uri': 'spotify:track:0VjIjW4GlUZAMYd2vXMi3b', 'track_href': 'https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b', 'duration_ms': 200040, 'time_signature': 4}",92,89,canadian contemporary r&b,200040,2020-03-20
1,Shape of You,Ed Sheeran,÷ (Deluxe),"{'danceability': 0.825, 'energy': 0.652, 'key': 1, 'loudness': -3.183, 'mode': 0, 'speechiness': 0.0802, 'acousticness': 0.581, 'instrumentalness': 0, 'liveness': 0.0931, 'valence': 0.931, 'tempo': 95.977, 'type': 'audio_features', 'id': '7qiZfU4dY1lWllzX7mPBI3', 'uri': 'spotify:track:7qiZfU4dY1lWllzX7mPBI3', 'track_href': 'https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3', 'duration_ms': 233713, 'time_signature': 4}",84,86,pop,233712,2017-03-03
2,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,"{'danceability': 0.501, 'energy': 0.405, 'key': 1, 'loudness': -5.679, 'mode': 1, 'speechiness': 0.0319, 'acousticness': 0.751, 'instrumentalness': 0, 'liveness': 0.105, 'valence': 0.446, 'tempo': 109.891, 'type': 'audio_features', 'id': '7qEHsqek33rTcFNT9PFqLf', 'uri': 'spotify:track:7qEHsqek33rTcFNT9PFqLf', 'track_href': 'https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf', 'duration_ms': 182161, 'time_signature': 4}",77,89,pop,182160,2019-05-17
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Hollywood's Bleeding,"{'danceability': 0.755, 'energy': 0.522, 'key': 2, 'loudness': -4.368, 'mode': 1, 'speechiness': 0.0575, 'acousticness': 0.533, 'instrumentalness': 0, 'liveness': 0.0685, 'valence': 0.925, 'tempo': 89.96, 'type': 'audio_features', 'id': '0RiRZpuVRbi7oqRdSMwhQY', 'uri': 'spotify:track:0RiRZpuVRbi7oqRdSMwhQY', 'track_href': 'https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0RiRZpuVRbi7oqRdSMwhQY', 'duration_ms': 157560, 'time_signature': 4}",89,85,dfw rap,157560,2019-09-06
4,Starboy,The Weeknd,Starboy,"{'danceability': 0.679, 'energy': 0.587, 'key': 7, 'loudness': -7.015, 'mode': 1, 'speechiness': 0.276, 'acousticness': 0.141, 'instrumentalness': 6.35e-06, 'liveness': 0.137, 'valence': 0.486, 'tempo': 186.003, 'type': 'audio_features', 'id': '7MXVkk9YMctZqd1Srtv4MB', 'uri': 'spotify:track:7MXVkk9YMctZqd1Srtv4MB', 'track_href': 'https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB', 'duration_ms': 230453, 'time_signature': 4}",92,90,canadian contemporary r&b,230453,2016-11-25
5,As It Was,Harry Styles,As It Was,"{'danceability': 0.52, 'energy': 0.731, 'key': 6, 'loudness': -5.338, 'mode': 0, 'speechiness': 0.0557, 'acousticness': 0.342, 'instrumentalness': 0.00101, 'liveness': 0.311, 'valence': 0.662, 'tempo': 173.93, 'type': 'audio_features', 'id': '4LRPiXqCikLlN15c3yImP7', 'uri': 'spotify:track:4LRPiXqCikLlN15c3yImP7', 'track_href': 'https://api.spotify.com/v1/tracks/4LRPiXqCikLlN15c3yImP7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4LRPiXqCikLlN15c3yImP7', 'duration_ms': 167303, 'time_signature': 4}",82,32,pop,167303,2022-03-31
6,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,"{'danceability': 0.824, 'energy': 0.588, 'key': 6, 'loudness': -6.4, 'mode': 0, 'speechiness': 0.0924, 'acousticness': 0.692, 'instrumentalness': 0.000104, 'liveness': 0.149, 'valence': 0.513, 'tempo': 98.027, 'type': 'audio_features', 'id': '2XU0oxnq2qxCpomAAuJY8K', 'uri': 'spotify:track:2XU0oxnq2qxCpomAAuJY8K', 'track_href': 'https://api.spotify.com/v1/tracks/2XU0oxnq2qxCpomAAuJY8K', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2XU0oxnq2qxCpomAAuJY8K', 'duration_ms': 209438, 'time_signature': 4}",67,75,australian pop,209438,2019-10-17
7,One Dance,Drake,Views,"{'danceability': 0.792, 'energy': 0.625, 'key': 1, 'loudness': -5.609, 'mode': 1, 'speechiness': 0.0536, 'acousticness': 0.00776, 'instrumentalness': 0.0018, 'liveness': 0.329, 'valence': 0.37, 'tempo': 103.967, 'type': 'audio_features', 'id': '1zi7xx7UVEFkmKfv06H8x0', 'uri': 'spotify:track:1zi7xx7UVEFkmKfv06H8x0', 'track_href': 'https://api.spotify.com/v1/tracks/1zi7xx7UVEFkmKfv06H8x0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1zi7xx7UVEFkmKfv06H8x0', 'duration_ms': 173987, 'time_signature': 4}",93,88,canadian hip hop,173986,2016-05-06
8,STAY (with Justin Bieber),The Kid LAROI,STAY (with Justin Bieber),"{'danceability': 0.591, 'energy': 0.764, 'key': 1, 'loudness': -5.484, 'mode': 1, 'speechiness': 0.0483, 'acousticness': 0.0383, 'instrumentalness': 0, 'liveness': 0.103, 'valence': 0.478, 'tempo': 169.928, 'type': 'audio_features', 'id': '5HCyWlXZPP0y6Gqq8TgA20', 'uri': 'spotify:track:5HCyWlXZPP0y6Gqq8TgA20', 'track_href': 'https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5HCyWlXZPP0y6Gqq8TgA20', 'duration_ms': 141806, 'time_signature': 4}",76,81,australian hip hop,141805,2021-07-09
9,rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,"{'danceability': 0.585, 'energy': 0.52, 'key': 5, 'loudness': -6.136, 'mode': 0, 'speechiness': 0.0713, 'acousticness': 0.124, 'instrumentalness': 7.75e-05, 'liveness': 0.131, 'valence': 0.129, 'tempo': 159.798, 'type': 'audio_features', 'id': '0e7ipj03S05BNilyu5bRzt', 'uri': 'spotify:track:0e7ipj03S05BNilyu5bRzt', 'track_href': 'https://api.spotify.com/v1/tracks/0e7ipj03S05BNilyu5bRzt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0e7ipj03S05BNilyu5bRzt', 'duration_ms': 218147, 'time_signature': 4}",89,83,dfw rap,218146,2018-04-27
