,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Love Of My Life - Remastered 2011,Queen,A Night At The Opera (Deluxe Edition 2011 Remaster),"{'danceability': 0.328, 'energy': 0.179, 'key': 5, 'loudness': -11.589, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.933, 'instrumentalness': 5.54e-06, 'liveness': 0.115, 'valence': 0.256, 'tempo': 154.803, 'type': 'audio_features', 'id': '4YJUTdZ0Pgl0ZeNyHYXeLd', 'uri': 'spotify:track:4YJUTdZ0Pgl0ZeNyHYXeLd', 'track_href': 'https://api.spotify.com/v1/tracks/4YJUTdZ0Pgl0ZeNyHYXeLd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4YJUTdZ0Pgl0ZeNyHYXeLd', 'duration_ms': 217387, 'time_signature': 4}",81,72,classic rock,217386,1975-11-21
1,Wishing (If I Had a Photograph of You),A Flock Of Seagulls,Listen,"{'danceability': 0.52, 'energy': 0.605, 'key': 1, 'loudness': -11.013, 'mode': 1, 'speechiness': 0.0353, 'acousticness': 0.181, 'instrumentalness': 0.699, 'liveness': 0.0623, 'valence': 0.77, 'tempo': 120.256, 'type': 'audio_features', 'id': '6bJhaEuaDpObzFOrsOejlJ', 'uri': 'spotify:track:6bJhaEuaDpObzFOrsOejlJ', 'track_href': 'https://api.spotify.com/v1/tracks/6bJhaEuaDpObzFOrsOejlJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6bJhaEuaDpObzFOrsOejlJ', 'duration_ms': 330960, 'time_signature': 4}",53,39,new romantic,330960,1983-05
2,"The More You Live, The More You Love",A Flock Of Seagulls,The Story Of A Young Heart,"{'danceability': 0.622, 'energy': 0.74, 'key': 11, 'loudness': -10.271, 'mode': 0, 'speechiness': 0.0354, 'acousticness': 0.00388, 'instrumentalness': 0.00405, 'liveness': 0.538, 'valence': 0.786, 'tempo': 139.525, 'type': 'audio_features', 'id': '6NG0ZuJsu99WgQ2yFUUAOy', 'uri': 'spotify:track:6NG0ZuJsu99WgQ2yFUUAOy', 'track_href': 'https://api.spotify.com/v1/tracks/6NG0ZuJsu99WgQ2yFUUAOy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6NG0ZuJsu99WgQ2yFUUAOy', 'duration_ms': 250520, 'time_signature': 4}",53,44,new romantic,250520,1984
3,Mijn Oude Hart,Gorki,Homo Erectus,"{'danceability': 0.446, 'energy': 0.493, 'key': 5, 'loudness': -11.256, 'mode': 1, 'speechiness': 0.0268, 'acousticness': 0.0115, 'instrumentalness': 0.727, 'liveness': 0.56, 'valence': 0.387, 'tempo': 100.07, 'type': 'audio_features', 'id': '69OeFZpmGkAAnunHweWJFo', 'uri': 'spotify:track:69OeFZpmGkAAnunHweWJFo', 'track_href': 'https://api.spotify.com/v1/tracks/69OeFZpmGkAAnunHweWJFo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/69OeFZpmGkAAnunHweWJFo', 'duration_ms': 241480, 'time_signature': 4}",35,0,belgian rock,241480,2006-01-01
4,En Route,Tourist LeMC,En Route,"{'danceability': 0.624, 'energy': 0.672, 'key': 10, 'loudness': -7.759, 'mode': 1, 'speechiness': 0.266, 'acousticness': 0.185, 'instrumentalness': 0, 'liveness': 0.176, 'valence': 0.477, 'tempo': 100.098, 'type': 'audio_features', 'id': '353JgGG2jfzwdU94VapalI', 'uri': 'spotify:track:353JgGG2jfzwdU94VapalI', 'track_href': 'https://api.spotify.com/v1/tracks/353JgGG2jfzwdU94VapalI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/353JgGG2jfzwdU94VapalI', 'duration_ms': 223450, 'time_signature': 4}",44,43,belgian hip hop,223450,2015-03-20
5,Les yeux de ma mère (en concert),Arno,En concert (À la française),"{'danceability': 0.459, 'energy': 0.481, 'key': 4, 'loudness': -10.181, 'mode': 0, 'speechiness': 0.0361, 'acousticness': 0.947, 'instrumentalness': 0.000675, 'liveness': 0.727, 'valence': 0.212, 'tempo': 115.913, 'type': 'audio_features', 'id': '5fobppqM9xKdWDaTLqc8xw', 'uri': 'spotify:track:5fobppqM9xKdWDaTLqc8xw', 'track_href': 'https://api.spotify.com/v1/tracks/5fobppqM9xKdWDaTLqc8xw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5fobppqM9xKdWDaTLqc8xw', 'duration_ms': 250627, 'time_signature': 4}",36,37,belgian blues,250626,1997-02-21
6,Cigar,Tamino,Amir,"{'danceability': 0.589, 'energy': 0.382, 'key': 6, 'loudness': -9.56, 'mode': 0, 'speechiness': 0.0283, 'acousticness': 0.567, 'instrumentalness': 0.000203, 'liveness': 0.0884, 'valence': 0.209, 'tempo': 77.996, 'type': 'audio_features', 'id': '01Y7ntOQnQtfcBYQuAR4Jf', 'uri': 'spotify:track:01Y7ntOQnQtfcBYQuAR4Jf', 'track_href': 'https://api.spotify.com/v1/tracks/01Y7ntOQnQtfcBYQuAR4Jf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/01Y7ntOQnQtfcBYQuAR4Jf', 'duration_ms': 247133, 'time_signature': 4}",51,51,belgian indie,247133,2018-10-19
7,Habibi,Tamino,Habibi,"{'danceability': 0.339, 'energy': 0.328, 'key': 2, 'loudness': -6.424, 'mode': 0, 'speechiness': 0.0281, 'acousticness': 0.894, 'instrumentalness': 0.113, 'liveness': 0.187, 'valence': 0.065, 'tempo': 121.871, 'type': 'audio_features', 'id': '0yfCofxWnDGApodzG8cu1x', 'uri': 'spotify:track:0yfCofxWnDGApodzG8cu1x', 'track_href': 'https://api.spotify.com/v1/tracks/0yfCofxWnDGApodzG8cu1x', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0yfCofxWnDGApodzG8cu1x', 'duration_ms': 309447, 'time_signature': 4}",51,22,belgian indie,309446,2017-02-05
8,Closer,Trixie Whitley,Porta Bohemica,"{'danceability': 0.607, 'energy': 0.465, 'key': 5, 'loudness': -11.259, 'mode': 0, 'speechiness': 0.0722, 'acousticness': 0.293, 'instrumentalness': 0.00181, 'liveness': 0.11, 'valence': 0.46, 'tempo': 159.845, 'type': 'audio_features', 'id': '4IyDIDqYkEjR5mPoaPXFCz', 'uri': 'spotify:track:4IyDIDqYkEjR5mPoaPXFCz', 'track_href': 'https://api.spotify.com/v1/tracks/4IyDIDqYkEjR5mPoaPXFCz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4IyDIDqYkEjR5mPoaPXFCz', 'duration_ms': 282667, 'time_signature': 4}",25,28,belgian indie,282666,2015-10-23
9,What He Wrote,Laura Marling,I Speak Because I Can,"{'danceability': 0.458, 'energy': 0.0987, 'key': 9, 'loudness': -16.021, 'mode': 0, 'speechiness': 0.0376, 'acousticness': 0.948, 'instrumentalness': 0.00954, 'liveness': 0.109, 'valence': 0.349, 'tempo': 139.987, 'type': 'audio_features', 'id': '2CTOa3CEBts3p1NyTVLTXU', 'uri': 'spotify:track:2CTOa3CEBts3p1NyTVLTXU', 'track_href': 'https://api.spotify.com/v1/tracks/2CTOa3CEBts3p1NyTVLTXU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2CTOa3CEBts3p1NyTVLTXU', 'duration_ms': 247123, 'time_signature': 3}",49,56,british folk,247123,2010-01-01
