,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Unforgettable,French Montana,Jungle Rules,"{'danceability': 0.726, 'energy': 0.769, 'key': 6, 'loudness': -5.043, 'mode': 1, 'speechiness': 0.123, 'acousticness': 0.0293, 'instrumentalness': 0.0101, 'liveness': 0.104, 'valence': 0.733, 'tempo': 97.985, 'type': 'audio_features', 'id': '3B54sVLJ402zGa6Xm4YGNe', 'uri': 'spotify:track:3B54sVLJ402zGa6Xm4YGNe', 'track_href': 'https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe', 'duration_ms': 233902, 'time_signature': 4}",72,87,hip hop,233901,2017-07-14
1,No Role Modelz,J. Cole,2014 Forest Hills Drive,"{'danceability': 0.692, 'energy': 0.521, 'key': 10, 'loudness': -8.465, 'mode': 0, 'speechiness': 0.33, 'acousticness': 0.301, 'instrumentalness': 0, 'liveness': 0.0565, 'valence': 0.463, 'tempo': 100.45, 'type': 'audio_features', 'id': '62vpWI1CHwFy7tMIcSStl8', 'uri': 'spotify:track:62vpWI1CHwFy7tMIcSStl8', 'track_href': 'https://api.spotify.com/v1/tracks/62vpWI1CHwFy7tMIcSStl8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/62vpWI1CHwFy7tMIcSStl8', 'duration_ms': 292987, 'time_signature': 4}",84,14,conscious hip hop,292986,2014-12-09
2,Idfc,blackbear,Deadroses,"{'danceability': 0.63, 'energy': 0.5, 'key': 1, 'loudness': -8.755, 'mode': 0, 'speechiness': 0.0611, 'acousticness': 0.611, 'instrumentalness': 4.04e-05, 'liveness': 0.114, 'valence': 0.315, 'tempo': 144.871, 'type': 'audio_features', 'id': '6MxhAD7FwoBQabntab2qG9', 'uri': 'spotify:track:6MxhAD7FwoBQabntab2qG9', 'track_href': 'https://api.spotify.com/v1/tracks/6MxhAD7FwoBQabntab2qG9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6MxhAD7FwoBQabntab2qG9', 'duration_ms': 245172, 'time_signature': 4}",71,0,pop,245172,2015-02-14
3,idfc (Tarro Remix),blackbear,idfc (Tarro Remix),"{'danceability': 0.58, 'energy': 0.694, 'key': 1, 'loudness': -5.45, 'mode': 0, 'speechiness': 0.221, 'acousticness': 0.481, 'instrumentalness': 1.18e-06, 'liveness': 0.109, 'valence': 0.389, 'tempo': 139.751, 'type': 'audio_features', 'id': '44UQpKpI54KOZLAFaDAr9X', 'uri': 'spotify:track:44UQpKpI54KOZLAFaDAr9X', 'track_href': 'https://api.spotify.com/v1/tracks/44UQpKpI54KOZLAFaDAr9X', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/44UQpKpI54KOZLAFaDAr9X', 'duration_ms': 248633, 'time_signature': 4}",71,0,pop,248633,2016-10-17
4,Fade Into You,Mazzy Star,So Tonight That I Might See,"{'danceability': 0.417, 'energy': 0.33, 'key': 9, 'loudness': -13.925, 'mode': 1, 'speechiness': 0.0275, 'acousticness': 0.247, 'instrumentalness': 0.000689, 'liveness': 0.0677, 'valence': 0.175, 'tempo': 157.113, 'type': 'audio_features', 'id': '1LzNfuep1bnAUR9skqdHCK', 'uri': 'spotify:track:1LzNfuep1bnAUR9skqdHCK', 'track_href': 'https://api.spotify.com/v1/tracks/1LzNfuep1bnAUR9skqdHCK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1LzNfuep1bnAUR9skqdHCK', 'duration_ms': 295600, 'time_signature': 3}",65,82,dream pop,295600,1993-10-05
5,Sentimiento Original,Gondwana,Gondwana,"{'danceability': 0.747, 'energy': 0.603, 'key': 11, 'loudness': -8.825, 'mode': 0, 'speechiness': 0.102, 'acousticness': 0.0148, 'instrumentalness': 0, 'liveness': 0.0688, 'valence': 0.712, 'tempo': 86.586, 'type': 'audio_features', 'id': '2dz5G8cubIlwFN6SJtj0rg', 'uri': 'spotify:track:2dz5G8cubIlwFN6SJtj0rg', 'track_href': 'https://api.spotify.com/v1/tracks/2dz5G8cubIlwFN6SJtj0rg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2dz5G8cubIlwFN6SJtj0rg', 'duration_ms': 292800, 'time_signature': 4}",57,64,latin alternative,292800,1997
6,Wet Dreamz,J. Cole,2014 Forest Hills Drive,"{'danceability': 0.517, 'energy': 0.705, 'key': 6, 'loudness': -8.205, 'mode': 0, 'speechiness': 0.364, 'acousticness': 0.0751, 'instrumentalness': 0, 'liveness': 0.128, 'valence': 0.584, 'tempo': 175.906, 'type': 'audio_features', 'id': '6Ius4TC0L3cN74HT7ENE6e', 'uri': 'spotify:track:6Ius4TC0L3cN74HT7ENE6e', 'track_href': 'https://api.spotify.com/v1/tracks/6Ius4TC0L3cN74HT7ENE6e', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Ius4TC0L3cN74HT7ENE6e', 'duration_ms': 239320, 'time_signature': 4}",84,1,conscious hip hop,239320,2014-12-09
7,Thinkin Bout You,Frank Ocean,channel ORANGE (Explicit Version),"{'danceability': 0.721, 'energy': 0.339, 'key': 0, 'loudness': -11.195, 'mode': 1, 'speechiness': 0.0532, 'acousticness': 0.409, 'instrumentalness': 0.00153, 'liveness': 0.0973, 'valence': 0.2, 'tempo': 129.83, 'type': 'audio_features', 'id': '5mphdlILgAq3vh1MSvAJTS', 'uri': 'spotify:track:5mphdlILgAq3vh1MSvAJTS', 'track_href': 'https://api.spotify.com/v1/tracks/5mphdlILgAq3vh1MSvAJTS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5mphdlILgAq3vh1MSvAJTS', 'duration_ms': 200747, 'time_signature': 4}",82,0,lgbtq+ hip hop,200746,2012-07-10
8,Bizarre Love Triangle - 2014 Remaster,Frente!,Marvin The Album - 21st Anniversary Edition,"{'danceability': 0.738, 'energy': 0.198, 'key': 1, 'loudness': -10.919, 'mode': 1, 'speechiness': 0.0625, 'acousticness': 0.906, 'instrumentalness': 0, 'liveness': 0.105, 'valence': 0.682, 'tempo': 123.158, 'type': 'audio_features', 'id': '7sgi66biRYpAXuRZJBDuli', 'uri': 'spotify:track:7sgi66biRYpAXuRZJBDuli', 'track_href': 'https://api.spotify.com/v1/tracks/7sgi66biRYpAXuRZJBDuli', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7sgi66biRYpAXuRZJBDuli', 'duration_ms': 119813, 'time_signature': 4}",37,51,australian alternative rock,119813,1999-05-14
9,Stay,Rihanna,Unapologetic (Deluxe),"{'danceability': 0.621, 'energy': 0.31, 'key': 9, 'loudness': -10.164, 'mode': 0, 'speechiness': 0.0283, 'acousticness': 0.945, 'instrumentalness': 6.12e-05, 'liveness': 0.117, 'valence': 0.125, 'tempo': 111.881, 'type': 'audio_features', 'id': '0GNI8K3VATWBABQFAzBAYe', 'uri': 'spotify:track:0GNI8K3VATWBABQFAzBAYe', 'track_href': 'https://api.spotify.com/v1/tracks/0GNI8K3VATWBABQFAzBAYe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0GNI8K3VATWBABQFAzBAYe', 'duration_ms': 240707, 'time_signature': 4}",87,75,barbadian pop,240706,2012-12-11
