,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Ai Se Eu Te Pego,Michel Teló,Ai Se Eu Te Pego,"{'danceability': 0.67, 'energy': 0.936, 'key': 11, 'loudness': -4.384, 'mode': 1, 'speechiness': 0.065, 'acousticness': 0.363, 'instrumentalness': 0, 'liveness': 0.793, 'valence': 0.882, 'tempo': 96.038, 'type': 'audio_features', 'id': '0oNoy8jgsBQEw0xRTqKxj9', 'uri': 'spotify:track:0oNoy8jgsBQEw0xRTqKxj9', 'track_href': 'https://api.spotify.com/v1/tracks/0oNoy8jgsBQEw0xRTqKxj9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0oNoy8jgsBQEw0xRTqKxj9', 'duration_ms': 165864, 'time_signature': 4}",56,0,sertanejo,165864,2011-11-25
1,Balada,Gusttavo Lima,Balada,"{'danceability': 0.658, 'energy': 0.906, 'key': 11, 'loudness': -7.914, 'mode': 0, 'speechiness': 0.0574, 'acousticness': 0.106, 'instrumentalness': 0, 'liveness': 0.887, 'valence': 0.758, 'tempo': 128.011, 'type': 'audio_features', 'id': '1wGsrL58wWJNBcOrw215aD', 'uri': 'spotify:track:1wGsrL58wWJNBcOrw215aD', 'track_href': 'https://api.spotify.com/v1/tracks/1wGsrL58wWJNBcOrw215aD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1wGsrL58wWJNBcOrw215aD', 'duration_ms': 204800, 'time_signature': 4}",76,0,agronejo,204800,2012-04-13
2,Danza Kuduro (feat. Don Omar),Lucenzo,Danza Kuduro (feat. Don Omar),"{'danceability': 0.706, 'energy': 0.89, 'key': 0, 'loudness': -6.575, 'mode': 1, 'speechiness': 0.0847, 'acousticness': 0.0855, 'instrumentalness': 0, 'liveness': 0.0465, 'valence': 0.896, 'tempo': 130.051, 'type': 'audio_features', 'id': '1kAZhbcsXqfUjnVeqPywn2', 'uri': 'spotify:track:1kAZhbcsXqfUjnVeqPywn2', 'track_href': 'https://api.spotify.com/v1/tracks/1kAZhbcsXqfUjnVeqPywn2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1kAZhbcsXqfUjnVeqPywn2', 'duration_ms': 202347, 'time_signature': 4}",68,0,reggaeton,202346,2011-06-27
3,Perfect,Ed Sheeran,÷ (Deluxe),"{'danceability': 0.599, 'energy': 0.448, 'key': 8, 'loudness': -6.312, 'mode': 1, 'speechiness': 0.0232, 'acousticness': 0.163, 'instrumentalness': 0, 'liveness': 0.106, 'valence': 0.168, 'tempo': 95.05, 'type': 'audio_features', 'id': '0tgVpDi06FyKpA1z0VMD4v', 'uri': 'spotify:track:0tgVpDi06FyKpA1z0VMD4v', 'track_href': 'https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v', 'duration_ms': 263400, 'time_signature': 3}",84,87,pop,263400,2017-03-03
4,I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),"{'danceability': 0.743, 'energy': 0.766, 'key': 0, 'loudness': -6.375, 'mode': 1, 'speechiness': 0.0265, 'acousticness': 0.0873, 'instrumentalness': 0, 'liveness': 0.509, 'valence': 0.61, 'tempo': 127.96, 'type': 'audio_features', 'id': '4vp2J1l5RD4gMZwGFLfRAu', 'uri': 'spotify:track:4vp2J1l5RD4gMZwGFLfRAu', 'track_href': 'https://api.spotify.com/v1/tracks/4vp2J1l5RD4gMZwGFLfRAu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4vp2J1l5RD4gMZwGFLfRAu', 'duration_ms': 289133, 'time_signature': 4}",77,1,dance pop,289133,2009-01-01
5,Hot N Cold,Katy Perry,Hot N Cold,"{'danceability': 0.702, 'energy': 0.838, 'key': 7, 'loudness': -3.992, 'mode': 1, 'speechiness': 0.0439, 'acousticness': 7.98e-05, 'instrumentalness': 0, 'liveness': 0.072, 'valence': 0.855, 'tempo': 132.007, 'type': 'audio_features', 'id': '22Lg6vvMS2JC07aAjsGvtU', 'uri': 'spotify:track:22Lg6vvMS2JC07aAjsGvtU', 'track_href': 'https://api.spotify.com/v1/tracks/22Lg6vvMS2JC07aAjsGvtU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/22Lg6vvMS2JC07aAjsGvtU', 'duration_ms': 223227, 'time_signature': 4}",81,51,pop,223226,2008-09-09
6,Shape of You,Ed Sheeran,÷ (Deluxe),"{'danceability': 0.825, 'energy': 0.652, 'key': 1, 'loudness': -3.183, 'mode': 0, 'speechiness': 0.0802, 'acousticness': 0.581, 'instrumentalness': 0, 'liveness': 0.0931, 'valence': 0.931, 'tempo': 95.977, 'type': 'audio_features', 'id': '7qiZfU4dY1lWllzX7mPBI3', 'uri': 'spotify:track:7qiZfU4dY1lWllzX7mPBI3', 'track_href': 'https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3', 'duration_ms': 233713, 'time_signature': 4}",84,86,pop,233712,2017-03-03
7,Ballerina,ELYX,Ballerina,"{'danceability': 0.656, 'energy': 0.759, 'key': 6, 'loudness': -5.431, 'mode': 0, 'speechiness': 0.194, 'acousticness': 0.101, 'instrumentalness': 0.00308, 'liveness': 0.104, 'valence': 0.186, 'tempo': 155.013, 'type': 'audio_features', 'id': '4jg8UQRXFy9vKjvILFtgfc', 'uri': 'spotify:track:4jg8UQRXFy9vKjvILFtgfc', 'track_href': 'https://api.spotify.com/v1/tracks/4jg8UQRXFy9vKjvILFtgfc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4jg8UQRXFy9vKjvILFtgfc', 'duration_ms': 133161, 'time_signature': 4}",48,60,,133161,2024-05-03
8,Born This Way,Lady Gaga,Born This Way (Special Edition),"{'danceability': 0.587, 'energy': 0.828, 'key': 11, 'loudness': -5.108, 'mode': 1, 'speechiness': 0.161, 'acousticness': 0.00327, 'instrumentalness': 0, 'liveness': 0.331, 'valence': 0.493, 'tempo': 123.907, 'type': 'audio_features', 'id': '6r2BECwMgEoRb5yLfp0Hca', 'uri': 'spotify:track:6r2BECwMgEoRb5yLfp0Hca', 'track_href': 'https://api.spotify.com/v1/tracks/6r2BECwMgEoRb5yLfp0Hca', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6r2BECwMgEoRb5yLfp0Hca', 'duration_ms': 260253, 'time_signature': 4}",82,68,art pop,260252,2011-01-01
9,Titanium (feat. Sia),David Guetta,Nothing but the Beat (Ultimate Edition),"{'danceability': 0.604, 'energy': 0.787, 'key': 0, 'loudness': -3.674, 'mode': 0, 'speechiness': 0.103, 'acousticness': 0.0679, 'instrumentalness': 0.15, 'liveness': 0.127, 'valence': 0.301, 'tempo': 126.062, 'type': 'audio_features', 'id': '0TDLuuLlV54CkRRUOahJb4', 'uri': 'spotify:track:0TDLuuLlV54CkRRUOahJb4', 'track_href': 'https://api.spotify.com/v1/tracks/0TDLuuLlV54CkRRUOahJb4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0TDLuuLlV54CkRRUOahJb4', 'duration_ms': 245040, 'time_signature': 4}",86,81,big room,245040,2012-12-07
