,track,artist,album,other,artist pop,track pop,track genre,duration,release date
10,Believer,Imagine Dragons,Evolve,"{'danceability': 0.776, 'energy': 0.78, 'key': 10, 'loudness': -4.374, 'mode': 0, 'speechiness': 0.128, 'acousticness': 0.0622, 'instrumentalness': 0, 'liveness': 0.081, 'valence': 0.666, 'tempo': 124.949, 'type': 'audio_features', 'id': '0pqnGHJpmpxLKifKRmU6WP', 'uri': 'spotify:track:0pqnGHJpmpxLKifKRmU6WP', 'track_href': 'https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP', 'duration_ms': 204347, 'time_signature': 4}",85,87,modern rock,204346,2017-06-23
11,Like Rihanna,Young Zerka,Like Rihanna,"{'danceability': 0.76, 'energy': 0.693, 'key': 4, 'loudness': -4.211, 'mode': 0, 'speechiness': 0.0449, 'acousticness': 0.0227, 'instrumentalness': 0, 'liveness': 0.138, 'valence': 0.568, 'tempo': 95.018, 'type': 'audio_features', 'id': '13Rcu26GyL5oMEAGWyyTpP', 'uri': 'spotify:track:13Rcu26GyL5oMEAGWyyTpP', 'track_href': 'https://api.spotify.com/v1/tracks/13Rcu26GyL5oMEAGWyyTpP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/13Rcu26GyL5oMEAGWyyTpP', 'duration_ms': 160421, 'time_signature': 4}",41,0,albanian pop,160421,2016-06-20
12,In My Mind,Dynoro,In My Mind,"{'danceability': 0.694, 'energy': 0.77, 'key': 6, 'loudness': -5.335, 'mode': 1, 'speechiness': 0.149, 'acousticness': 0.176, 'instrumentalness': 1.1e-05, 'liveness': 0.118, 'valence': 0.163, 'tempo': 125.905, 'type': 'audio_features', 'id': '0E9ZjEAyAwOXZ7wJC0PD33', 'uri': 'spotify:track:0E9ZjEAyAwOXZ7wJC0PD33', 'track_href': 'https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33', 'duration_ms': 184560, 'time_signature': 4}",62,79,edm,184560,2018-06-08
13,E.T.,Katy Perry,Teenage Dream: The Complete Confection,"{'danceability': 0.603, 'energy': 0.871, 'key': 5, 'loudness': -5.404, 'mode': 0, 'speechiness': 0.08, 'acousticness': 0.0213, 'instrumentalness': 0, 'liveness': 0.364, 'valence': 0.69, 'tempo': 150.103, 'type': 'audio_features', 'id': '4z8ssgZfs5TzKiO8HaGWXO', 'uri': 'spotify:track:4z8ssgZfs5TzKiO8HaGWXO', 'track_href': 'https://api.spotify.com/v1/tracks/4z8ssgZfs5TzKiO8HaGWXO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4z8ssgZfs5TzKiO8HaGWXO', 'duration_ms': 206373, 'time_signature': 4}",81,68,pop,206373,2012-03-12
14,Roar,Katy Perry,PRISM (Deluxe),"{'danceability': 0.671, 'energy': 0.771, 'key': 7, 'loudness': -4.821, 'mode': 0, 'speechiness': 0.0316, 'acousticness': 0.00492, 'instrumentalness': 7.28e-06, 'liveness': 0.354, 'valence': 0.436, 'tempo': 90.003, 'type': 'audio_features', 'id': '6F5c58TMEs1byxUstkzVeM', 'uri': 'spotify:track:6F5c58TMEs1byxUstkzVeM', 'track_href': 'https://api.spotify.com/v1/tracks/6F5c58TMEs1byxUstkzVeM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6F5c58TMEs1byxUstkzVeM', 'duration_ms': 223546, 'time_signature': 4}",81,72,pop,223546,2013-10-18
15,Solo (feat. Demi Lovato),Clean Bandit,Solo (feat. Demi Lovato),"{'danceability': 0.737, 'energy': 0.636, 'key': 11, 'loudness': -4.546, 'mode': 0, 'speechiness': 0.0437, 'acousticness': 0.0441, 'instrumentalness': 6.66e-05, 'liveness': 0.35, 'valence': 0.565, 'tempo': 105.005, 'type': 'audio_features', 'id': '6kPJZM97LwdG9QIsT7khp6', 'uri': 'spotify:track:6kPJZM97LwdG9QIsT7khp6', 'track_href': 'https://api.spotify.com/v1/tracks/6kPJZM97LwdG9QIsT7khp6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6kPJZM97LwdG9QIsT7khp6', 'duration_ms': 222653, 'time_signature': 4}",71,69,pop,222653,2018-05-17
16,You Don't Know Me (feat. RAYE),Jax Jones,Snacks,"{'danceability': 0.879, 'energy': 0.662, 'key': 11, 'loudness': -6.082, 'mode': 0, 'speechiness': 0.163, 'acousticness': 0.189, 'instrumentalness': 0, 'liveness': 0.189, 'valence': 0.684, 'tempo': 123.971, 'type': 'audio_features', 'id': '4xqLvvDGoLICXY1H1QWghj', 'uri': 'spotify:track:4xqLvvDGoLICXY1H1QWghj', 'track_href': 'https://api.spotify.com/v1/tracks/4xqLvvDGoLICXY1H1QWghj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4xqLvvDGoLICXY1H1QWghj', 'duration_ms': 211933, 'time_signature': 4}",70,0,dance pop,211933,2018-10-12
17,Numa Numa 2,Dan Balan,Numa Numa 2,"{'danceability': 0.587, 'energy': 0.945, 'key': 0, 'loudness': -4.175, 'mode': 1, 'speechiness': 0.134, 'acousticness': 0.0826, 'instrumentalness': 0, 'liveness': 0.128, 'valence': 0.428, 'tempo': 130.022, 'type': 'audio_features', 'id': '467nt1GWbuDJJDVonmgxsH', 'uri': 'spotify:track:467nt1GWbuDJJDVonmgxsH', 'track_href': 'https://api.spotify.com/v1/tracks/467nt1GWbuDJJDVonmgxsH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/467nt1GWbuDJJDVonmgxsH', 'duration_ms': 203774, 'time_signature': 4}",47,36,moldovan pop,203774,2018-09-12
18,Thunderclouds,Sia,Thunderclouds,"{'danceability': 0.691, 'energy': 0.716, 'key': 7, 'loudness': -5.985, 'mode': 1, 'speechiness': 0.0351, 'acousticness': 0.0085, 'instrumentalness': 9.06e-06, 'liveness': 0.263, 'valence': 0.507, 'tempo': 112.035, 'type': 'audio_features', 'id': '5a8RPWgKSmcGBGcffmIrUi', 'uri': 'spotify:track:5a8RPWgKSmcGBGcffmIrUi', 'track_href': 'https://api.spotify.com/v1/tracks/5a8RPWgKSmcGBGcffmIrUi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5a8RPWgKSmcGBGcffmIrUi', 'duration_ms': 187027, 'time_signature': 4}",82,0,australian dance,187026,2018-08-09
19,New Rules,Dua Lipa,Dua Lipa (Deluxe),"{'danceability': 0.762, 'energy': 0.7, 'key': 9, 'loudness': -6.021, 'mode': 0, 'speechiness': 0.0694, 'acousticness': 0.00261, 'instrumentalness': 1.56e-05, 'liveness': 0.153, 'valence': 0.608, 'tempo': 116.073, 'type': 'audio_features', 'id': '2ekn2ttSfGqwhhate0LSR0', 'uri': 'spotify:track:2ekn2ttSfGqwhhate0LSR0', 'track_href': 'https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0', 'duration_ms': 209320, 'time_signature': 4}",87,81,dance pop,209320,2017-06-02
