,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Solo,Future,HNDRXX,"{'danceability': 0.784, 'energy': 0.486, 'key': 5, 'loudness': -6.497, 'mode': 0, 'speechiness': 0.0475, 'acousticness': 0.0538, 'instrumentalness': 0.497, 'liveness': 0.101, 'valence': 0.0894, 'tempo': 110.964, 'type': 'audio_features', 'id': '4lH6nENd1y81jp7Yt9lTBX', 'uri': 'spotify:track:4lH6nENd1y81jp7Yt9lTBX', 'track_href': 'https://api.spotify.com/v1/tracks/4lH6nENd1y81jp7Yt9lTBX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4lH6nENd1y81jp7Yt9lTBX', 'duration_ms': 265996, 'time_signature': 4}",90,81,atl hip hop,265996,2017-07-27
1,20 Min,Lil Uzi Vert,Luv Is Rage 2 (Deluxe),"{'danceability': 0.773, 'energy': 0.75, 'key': 8, 'loudness': -4.009, 'mode': 0, 'speechiness': 0.117, 'acousticness': 0.109, 'instrumentalness': 0, 'liveness': 0.174, 'valence': 0.783, 'tempo': 123.426, 'type': 'audio_features', 'id': '0uxSUdBrJy9Un0EYoBowng', 'uri': 'spotify:track:0uxSUdBrJy9Un0EYoBowng', 'track_href': 'https://api.spotify.com/v1/tracks/0uxSUdBrJy9Un0EYoBowng', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0uxSUdBrJy9Un0EYoBowng', 'duration_ms': 220587, 'time_signature': 4}",82,82,hip hop,220586,2017-11-17
2,Rich $ex,Future,DS2 (Deluxe),"{'danceability': 0.758, 'energy': 0.482, 'key': 6, 'loudness': -11.202, 'mode': 0, 'speechiness': 0.168, 'acousticness': 0.148, 'instrumentalness': 6.88e-06, 'liveness': 0.135, 'valence': 0.0977, 'tempo': 111.896, 'type': 'audio_features', 'id': '2onCHFrhTinyUc6OawwU4Z', 'uri': 'spotify:track:2onCHFrhTinyUc6OawwU4Z', 'track_href': 'https://api.spotify.com/v1/tracks/2onCHFrhTinyUc6OawwU4Z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2onCHFrhTinyUc6OawwU4Z', 'duration_ms': 240160, 'time_signature': 4}",90,59,atl hip hop,240160,2015-07-17
3,Champagne Supernova - Remastered,Oasis,(What's The Story) Morning Glory? (Deluxe Remastered Edition),"{'danceability': 0.293, 'energy': 0.817, 'key': 2, 'loudness': -3.786, 'mode': 1, 'speechiness': 0.039, 'acousticness': 0.458, 'instrumentalness': 0.0509, 'liveness': 0.355, 'valence': 0.138, 'tempo': 150.249, 'type': 'audio_features', 'id': '2A7GGXmTlXuH9LOvBXgOX4', 'uri': 'spotify:track:2A7GGXmTlXuH9LOvBXgOX4', 'track_href': 'https://api.spotify.com/v1/tracks/2A7GGXmTlXuH9LOvBXgOX4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2A7GGXmTlXuH9LOvBXgOX4', 'duration_ms': 451320, 'time_signature': 4}",74,67,beatlesque,451320,1995
4,Iris,The Goo Goo Dolls,Dizzy up the Girl,"{'danceability': 0.315, 'energy': 0.715, 'key': 11, 'loudness': -8.072, 'mode': 0, 'speechiness': 0.0362, 'acousticness': 0.00125, 'instrumentalness': 7.97e-06, 'liveness': 0.0942, 'valence': 0.497, 'tempo': 155.925, 'type': 'audio_features', 'id': '6Qyc6fS4DsZjB2mRW9DsQs', 'uri': 'spotify:track:6Qyc6fS4DsZjB2mRW9DsQs', 'track_href': 'https://api.spotify.com/v1/tracks/6Qyc6fS4DsZjB2mRW9DsQs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Qyc6fS4DsZjB2mRW9DsQs', 'duration_ms': 289533, 'time_signature': 3}",70,86,neo mellow,289533,1998-09-11
5,Sex on Fire,Kings of Leon,Sex On Fire,"{'danceability': 0.551, 'energy': 0.903, 'key': 9, 'loudness': -5.615, 'mode': 1, 'speechiness': 0.0579, 'acousticness': 0.00208, 'instrumentalness': 0.00614, 'liveness': 0.0918, 'valence': 0.438, 'tempo': 153.407, 'type': 'audio_features', 'id': '0RdKwYHeLfhFT7OCZNACV6', 'uri': 'spotify:track:0RdKwYHeLfhFT7OCZNACV6', 'track_href': 'https://api.spotify.com/v1/tracks/0RdKwYHeLfhFT7OCZNACV6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0RdKwYHeLfhFT7OCZNACV6', 'duration_ms': 204467, 'time_signature': 4}",74,35,modern rock,204466,2009-06-26
6,Return of the Mack,Mark Morrison,Return of the Mack,"{'danceability': 0.715, 'energy': 0.833, 'key': 2, 'loudness': -5.379, 'mode': 1, 'speechiness': 0.108, 'acousticness': 0.00631, 'instrumentalness': 0, 'liveness': 0.164, 'valence': 0.612, 'tempo': 95.487, 'type': 'audio_features', 'id': '3jDdpx9PMlfMBS5tOBHFm9', 'uri': 'spotify:track:3jDdpx9PMlfMBS5tOBHFm9', 'track_href': 'https://api.spotify.com/v1/tracks/3jDdpx9PMlfMBS5tOBHFm9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3jDdpx9PMlfMBS5tOBHFm9', 'duration_ms': 213093, 'time_signature': 4}",61,77,british soul,213093,1996-04-22
7,Use Somebody,Kings of Leon,Only By The Night,"{'danceability': 0.276, 'energy': 0.715, 'key': 0, 'loudness': -5.356, 'mode': 1, 'speechiness': 0.0432, 'acousticness': 0.00552, 'instrumentalness': 0.000417, 'liveness': 0.201, 'valence': 0.173, 'tempo': 137.028, 'type': 'audio_features', 'id': '3a1eJRucXOtKZxNx5BVXMt', 'uri': 'spotify:track:3a1eJRucXOtKZxNx5BVXMt', 'track_href': 'https://api.spotify.com/v1/tracks/3a1eJRucXOtKZxNx5BVXMt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3a1eJRucXOtKZxNx5BVXMt', 'duration_ms': 230760, 'time_signature': 4}",74,0,modern rock,230760,2008-09-23
8,Mockingbird,Eminem,Encore (Deluxe Version),"{'danceability': 0.637, 'energy': 0.678, 'key': 0, 'loudness': -3.798, 'mode': 1, 'speechiness': 0.266, 'acousticness': 0.209, 'instrumentalness': 0, 'liveness': 0.156, 'valence': 0.254, 'tempo': 84.039, 'type': 'audio_features', 'id': '561jH07mF1jHuk7KlaeF0s', 'uri': 'spotify:track:561jH07mF1jHuk7KlaeF0s', 'track_href': 'https://api.spotify.com/v1/tracks/561jH07mF1jHuk7KlaeF0s', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/561jH07mF1jHuk7KlaeF0s', 'duration_ms': 250760, 'time_signature': 4}",87,86,detroit hip hop,250760,2004-11-12
9,Feel Good Inc.,Gorillaz,Demon Days,"{'danceability': 0.818, 'energy': 0.705, 'key': 6, 'loudness': -6.679, 'mode': 1, 'speechiness': 0.177, 'acousticness': 0.00836, 'instrumentalness': 0.00233, 'liveness': 0.613, 'valence': 0.772, 'tempo': 138.559, 'type': 'audio_features', 'id': '0d28khcov6AiegSCpG5TuT', 'uri': 'spotify:track:0d28khcov6AiegSCpG5TuT', 'track_href': 'https://api.spotify.com/v1/tracks/0d28khcov6AiegSCpG5TuT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0d28khcov6AiegSCpG5TuT', 'duration_ms': 222640, 'time_signature': 4}",77,84,alternative hip hop,222640,2005-05-23
