,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,No Role Modelz,J. Cole,2014 Forest Hills Drive,"{'danceability': 0.69, 'energy': 0.521, 'key': 10, 'loudness': -8.492, 'mode': 0, 'speechiness': 0.339, 'acousticness': 0.324, 'instrumentalness': 0, 'liveness': 0.0534, 'valence': 0.494, 'tempo': 100.028, 'type': 'audio_features', 'id': '68Dni7IE4VyPkTOH9mRWHr', 'uri': 'spotify:track:68Dni7IE4VyPkTOH9mRWHr', 'track_href': 'https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr', 'duration_ms': 292799, 'time_signature': 4}",84,87,conscious hip hop,292799,2014-12-09
1,Bound 2,Kanye West,Yeezus,"{'danceability': 0.367, 'energy': 0.665, 'key': 1, 'loudness': -2.821, 'mode': 1, 'speechiness': 0.0465, 'acousticness': 0.145, 'instrumentalness': 0, 'liveness': 0.113, 'valence': 0.31, 'tempo': 148.913, 'type': 'audio_features', 'id': '3sNVsP50132BTNlImLx70i', 'uri': 'spotify:track:3sNVsP50132BTNlImLx70i', 'track_href': 'https://api.spotify.com/v1/tracks/3sNVsP50132BTNlImLx70i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3sNVsP50132BTNlImLx70i', 'duration_ms': 229147, 'time_signature': 4}",89,83,chicago rap,229146,2013-06-18
2,Die For You,The Weeknd,Starboy,"{'danceability': 0.586, 'energy': 0.525, 'key': 1, 'loudness': -7.163, 'mode': 0, 'speechiness': 0.0615, 'acousticness': 0.111, 'instrumentalness': 0, 'liveness': 0.134, 'valence': 0.508, 'tempo': 133.629, 'type': 'audio_features', 'id': '2LBqCSwhJGcFQeTHMVGwy3', 'uri': 'spotify:track:2LBqCSwhJGcFQeTHMVGwy3', 'track_href': 'https://api.spotify.com/v1/tracks/2LBqCSwhJGcFQeTHMVGwy3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2LBqCSwhJGcFQeTHMVGwy3', 'duration_ms': 260253, 'time_signature': 4}",92,86,canadian contemporary r&b,260253,2016-11-24
3,Cruel Summer,Taylor Swift,Lover,"{'danceability': 0.552, 'energy': 0.702, 'key': 9, 'loudness': -5.707, 'mode': 1, 'speechiness': 0.157, 'acousticness': 0.117, 'instrumentalness': 2.06e-05, 'liveness': 0.105, 'valence': 0.564, 'tempo': 169.994, 'type': 'audio_features', 'id': '1BxfuPKGuaTgP7aM0Bbdwr', 'uri': 'spotify:track:1BxfuPKGuaTgP7aM0Bbdwr', 'track_href': 'https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr', 'duration_ms': 178427, 'time_signature': 4}",100,94,pop,178426,2019-08-23
4,golden hour,JVKE,this is what falling in love feels like (554Hz),"{'danceability': 0.515, 'energy': 0.593, 'key': 4, 'loudness': -4.801, 'mode': 1, 'speechiness': 0.0322, 'acousticness': 0.653, 'instrumentalness': 0.162, 'liveness': 0.25, 'valence': 0.153, 'tempo': 94.467, 'type': 'audio_features', 'id': '4yNk9iz9WVJikRFle3XEvn', 'uri': 'spotify:track:4yNk9iz9WVJikRFle3XEvn', 'track_href': 'https://api.spotify.com/v1/tracks/4yNk9iz9WVJikRFle3XEvn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4yNk9iz9WVJikRFle3XEvn', 'duration_ms': 209260, 'time_signature': 3}",73,79,modern indie pop,209259,2022-10-03
5,I Don't Mind (feat. Juicy J),USHER,I Don't Mind (feat. Juicy J),"{'danceability': 0.87, 'energy': 0.464, 'key': 4, 'loudness': -8.337, 'mode': 1, 'speechiness': 0.178, 'acousticness': 0.205, 'instrumentalness': 0, 'liveness': 0.0902, 'valence': 0.457, 'tempo': 112.974, 'type': 'audio_features', 'id': '7aXuop4Qambx5Oi3ynsKQr', 'uri': 'spotify:track:7aXuop4Qambx5Oi3ynsKQr', 'track_href': 'https://api.spotify.com/v1/tracks/7aXuop4Qambx5Oi3ynsKQr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7aXuop4Qambx5Oi3ynsKQr', 'duration_ms': 251989, 'time_signature': 4}",79,65,atl hip hop,251989,2014-11-21
6,See You Again (feat. Kali Uchis),"Tyler, The Creator",Flower Boy,"{'danceability': 0.558, 'energy': 0.559, 'key': 6, 'loudness': -9.222, 'mode': 1, 'speechiness': 0.0959, 'acousticness': 0.371, 'instrumentalness': 7.49e-06, 'liveness': 0.109, 'valence': 0.62, 'tempo': 78.558, 'type': 'audio_features', 'id': '7KA4W4McWYRpgf0fWsJZWB', 'uri': 'spotify:track:7KA4W4McWYRpgf0fWsJZWB', 'track_href': 'https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB', 'duration_ms': 180387, 'time_signature': 4}",83,90,hip hop,180386,2017-07-21
7,I Like You (A Happier Song) (with Doja Cat),Post Malone,Twelve Carat Toothache,"{'danceability': 0.733, 'energy': 0.67, 'key': 5, 'loudness': -6.009, 'mode': 1, 'speechiness': 0.0751, 'acousticness': 0.121, 'instrumentalness': 0, 'liveness': 0.121, 'valence': 0.472, 'tempo': 100.964, 'type': 'audio_features', 'id': '0O6u0VJ46W86TxN9wgyqDj', 'uri': 'spotify:track:0O6u0VJ46W86TxN9wgyqDj', 'track_href': 'https://api.spotify.com/v1/tracks/0O6u0VJ46W86TxN9wgyqDj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0O6u0VJ46W86TxN9wgyqDj', 'duration_ms': 192841, 'time_signature': 4}",89,80,dfw rap,192840,2022-06-03
8,Boy's a liar Pt. 2,PinkPantheress,Boy's a liar Pt. 2,"{'danceability': 0.696, 'energy': 0.809, 'key': 5, 'loudness': -8.254, 'mode': 1, 'speechiness': 0.05, 'acousticness': 0.252, 'instrumentalness': 0.000128, 'liveness': 0.248, 'valence': 0.857, 'tempo': 132.962, 'type': 'audio_features', 'id': '6AQbmUe0Qwf5PZnt4HmTXv', 'uri': 'spotify:track:6AQbmUe0Qwf5PZnt4HmTXv', 'track_href': 'https://api.spotify.com/v1/tracks/6AQbmUe0Qwf5PZnt4HmTXv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6AQbmUe0Qwf5PZnt4HmTXv', 'duration_ms': 131013, 'time_signature': 4}",72,77,bedroom pop,131013,2023-02-03
9,These Days,mike.,This Isn't The Album,"{'danceability': 0.815, 'energy': 0.364, 'key': 2, 'loudness': -11.158, 'mode': 1, 'speechiness': 0.375, 'acousticness': 0.533, 'instrumentalness': 3.52e-05, 'liveness': 0.108, 'valence': 0.328, 'tempo': 129.937, 'type': 'audio_features', 'id': '5tsI3xxDHDgzHhn30LTQNz', 'uri': 'spotify:track:5tsI3xxDHDgzHhn30LTQNz', 'track_href': 'https://api.spotify.com/v1/tracks/5tsI3xxDHDgzHhn30LTQNz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5tsI3xxDHDgzHhn30LTQNz', 'duration_ms': 268566, 'time_signature': 4}",62,66,indie pop rap,268565,2015-10-30
