,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Judas,Lady Gaga,Born This Way,"{'danceability': 0.661, 'energy': 0.937, 'key': 10, 'loudness': -3.83, 'mode': 0, 'speechiness': 0.0744, 'acousticness': 0.000967, 'instrumentalness': 1.58e-05, 'liveness': 0.355, 'valence': 0.535, 'tempo': 130.999, 'type': 'audio_features', 'id': '0QkWikH5Z3U0f79T9iuF6c', 'uri': 'spotify:track:0QkWikH5Z3U0f79T9iuF6c', 'track_href': 'https://api.spotify.com/v1/tracks/0QkWikH5Z3U0f79T9iuF6c', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0QkWikH5Z3U0f79T9iuF6c', 'duration_ms': 249067, 'time_signature': 4}",82,70,art pop,249066,2011-01-01
1,Ramalama (Bang Bang),Róisín Murphy,Ruby Blue,"{'danceability': 0.822, 'energy': 0.655, 'key': 9, 'loudness': -8.316, 'mode': 1, 'speechiness': 0.0363, 'acousticness': 0.205, 'instrumentalness': 0.000535, 'liveness': 0.1, 'valence': 0.518, 'tempo': 106.977, 'type': 'audio_features', 'id': '1nQZC5d0lR56oKRbNLyP8v', 'uri': 'spotify:track:1nQZC5d0lR56oKRbNLyP8v', 'track_href': 'https://api.spotify.com/v1/tracks/1nQZC5d0lR56oKRbNLyP8v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1nQZC5d0lR56oKRbNLyP8v', 'duration_ms': 215387, 'time_signature': 4}",52,1,art pop,215386,2005-06-13
2,Applause,Lady Gaga,ARTPOP,"{'danceability': 0.668, 'energy': 0.78, 'key': 7, 'loudness': -4.287, 'mode': 0, 'speechiness': 0.053, 'acousticness': 0.0265, 'instrumentalness': 1.63e-06, 'liveness': 0.143, 'valence': 0.738, 'tempo': 139.945, 'type': 'audio_features', 'id': '5ka2ajep9OAvU5Sgduhiex', 'uri': 'spotify:track:5ka2ajep9OAvU5Sgduhiex', 'track_href': 'https://api.spotify.com/v1/tracks/5ka2ajep9OAvU5Sgduhiex', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ka2ajep9OAvU5Sgduhiex', 'duration_ms': 212333, 'time_signature': 4}",82,77,art pop,212333,2013-11-11
3,Oxytocin,Billie Eilish,Happier Than Ever,"{'danceability': 0.757, 'energy': 0.598, 'key': 11, 'loudness': -7.777, 'mode': 1, 'speechiness': 0.058, 'acousticness': 0.0904, 'instrumentalness': 0.551, 'liveness': 0.15, 'valence': 0.18, 'tempo': 124.951, 'type': 'audio_features', 'id': '4t2OeILB07eMGTXSUbMPEu', 'uri': 'spotify:track:4t2OeILB07eMGTXSUbMPEu', 'track_href': 'https://api.spotify.com/v1/tracks/4t2OeILB07eMGTXSUbMPEu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4t2OeILB07eMGTXSUbMPEu', 'duration_ms': 210233, 'time_signature': 4}",92,70,art pop,210232,2021-07-30
4,My Body Is a Cage,Arcade Fire,Neon Bible,"{'danceability': 0.296, 'energy': 0.502, 'key': 0, 'loudness': -8.653, 'mode': 0, 'speechiness': 0.0336, 'acousticness': 0.315, 'instrumentalness': 0.0551, 'liveness': 0.229, 'valence': 0.313, 'tempo': 81.045, 'type': 'audio_features', 'id': '1rOlTL4pKQ9Y1fURua4AJR', 'uri': 'spotify:track:1rOlTL4pKQ9Y1fURua4AJR', 'track_href': 'https://api.spotify.com/v1/tracks/1rOlTL4pKQ9Y1fURua4AJR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1rOlTL4pKQ9Y1fURua4AJR', 'duration_ms': 287240, 'time_signature': 4}",62,56,alternative rock,287240,2007
5,I Feel Like I'm Drowning,Two Feet,A 20 Something Fuck,"{'danceability': 0.717, 'energy': 0.577, 'key': 8, 'loudness': -5.436, 'mode': 1, 'speechiness': 0.0491, 'acousticness': 0.708, 'instrumentalness': 0.00422, 'liveness': 0.0899, 'valence': 0.235, 'tempo': 104.926, 'type': 'audio_features', 'id': '3aauaXWRgwCMoykMbI0Jq1', 'uri': 'spotify:track:3aauaXWRgwCMoykMbI0Jq1', 'track_href': 'https://api.spotify.com/v1/tracks/3aauaXWRgwCMoykMbI0Jq1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3aauaXWRgwCMoykMbI0Jq1', 'duration_ms': 185520, 'time_signature': 3}",67,77,indie poptimism,185520,2018-10-05
6,Maneater,Nelly Furtado,Loose,"{'danceability': 0.796, 'energy': 0.778, 'key': 6, 'loudness': -4.81, 'mode': 1, 'speechiness': 0.0397, 'acousticness': 0.0258, 'instrumentalness': 0.000386, 'liveness': 0.121, 'valence': 0.789, 'tempo': 132.724, 'type': 'audio_features', 'id': '4wH4dJgrsxONID6KS2tDQM', 'uri': 'spotify:track:4wH4dJgrsxONID6KS2tDQM', 'track_href': 'https://api.spotify.com/v1/tracks/4wH4dJgrsxONID6KS2tDQM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4wH4dJgrsxONID6KS2tDQM', 'duration_ms': 258893, 'time_signature': 4}",74,83,canadian latin,258893,2006-01-01
7,Breakin' Dishes,Rihanna,Good Girl Gone Bad: Reloaded,"{'danceability': 0.801, 'energy': 0.674, 'key': 8, 'loudness': -4.185, 'mode': 0, 'speechiness': 0.031, 'acousticness': 0.000282, 'instrumentalness': 0.000139, 'liveness': 0.0914, 'valence': 0.875, 'tempo': 125.009, 'type': 'audio_features', 'id': '46aZJc0z1HHHSFxaIRxYSP', 'uri': 'spotify:track:46aZJc0z1HHHSFxaIRxYSP', 'track_href': 'https://api.spotify.com/v1/tracks/46aZJc0z1HHHSFxaIRxYSP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/46aZJc0z1HHHSFxaIRxYSP', 'duration_ms': 200573, 'time_signature': 4}",88,77,barbadian pop,200573,2008-06-02
8,listen before i go,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","{'danceability': 0.319, 'energy': 0.0561, 'key': 0, 'loudness': -23.023, 'mode': 1, 'speechiness': 0.045, 'acousticness': 0.935, 'instrumentalness': 0.00384, 'liveness': 0.388, 'valence': 0.082, 'tempo': 79.764, 'type': 'audio_features', 'id': '0tMSssfxAL2oV8Vri0mFHE', 'uri': 'spotify:track:0tMSssfxAL2oV8Vri0mFHE', 'track_href': 'https://api.spotify.com/v1/tracks/0tMSssfxAL2oV8Vri0mFHE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0tMSssfxAL2oV8Vri0mFHE', 'duration_ms': 242652, 'time_signature': 3}",92,76,art pop,242652,2019-03-29
9,idontwannabeyouanymore,Billie Eilish,dont smile at me,"{'danceability': 0.483, 'energy': 0.412, 'key': 7, 'loudness': -8.461, 'mode': 1, 'speechiness': 0.0402, 'acousticness': 0.737, 'instrumentalness': 0, 'liveness': 0.116, 'valence': 0.247, 'tempo': 170.163, 'type': 'audio_features', 'id': '41zXlQxzTi6cGAjpOXyLYH', 'uri': 'spotify:track:41zXlQxzTi6cGAjpOXyLYH', 'track_href': 'https://api.spotify.com/v1/tracks/41zXlQxzTi6cGAjpOXyLYH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/41zXlQxzTi6cGAjpOXyLYH', 'duration_ms': 203569, 'time_signature': 3}",92,78,art pop,203569,2017-12-22
