,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Say You Won't Let Go,James Arthur,Back from the Edge,"{'danceability': 0.358, 'energy': 0.557, 'key': 10, 'loudness': -7.398, 'mode': 1, 'speechiness': 0.059, 'acousticness': 0.695, 'instrumentalness': 0, 'liveness': 0.0902, 'valence': 0.494, 'tempo': 85.043, 'type': 'audio_features', 'id': '5uCax9HTNlzGybIStD3vDh', 'uri': 'spotify:track:5uCax9HTNlzGybIStD3vDh', 'track_href': 'https://api.spotify.com/v1/tracks/5uCax9HTNlzGybIStD3vDh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5uCax9HTNlzGybIStD3vDh', 'duration_ms': 211467, 'time_signature': 4}",79,87,pop,211466,2016-10-28
1,Lover,Taylor Swift,Lover,"{'danceability': 0.359, 'energy': 0.543, 'key': 7, 'loudness': -7.582, 'mode': 1, 'speechiness': 0.0919, 'acousticness': 0.492, 'instrumentalness': 1.58e-05, 'liveness': 0.118, 'valence': 0.453, 'tempo': 68.534, 'type': 'audio_features', 'id': '1dGr1c8CrMLDpV6mPbImSI', 'uri': 'spotify:track:1dGr1c8CrMLDpV6mPbImSI', 'track_href': 'https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1dGr1c8CrMLDpV6mPbImSI', 'duration_ms': 221307, 'time_signature': 4}",100,87,pop,221306,2019-08-23
2,When I Was Your Man,Bruno Mars,Unorthodox Jukebox,"{'danceability': 0.612, 'energy': 0.28, 'key': 0, 'loudness': -8.648, 'mode': 1, 'speechiness': 0.0434, 'acousticness': 0.932, 'instrumentalness': 0, 'liveness': 0.088, 'valence': 0.387, 'tempo': 72.795, 'type': 'audio_features', 'id': '0nJW01T7XtvILxQgC5J7Wh', 'uri': 'spotify:track:0nJW01T7XtvILxQgC5J7Wh', 'track_href': 'https://api.spotify.com/v1/tracks/0nJW01T7XtvILxQgC5J7Wh', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0nJW01T7XtvILxQgC5J7Wh', 'duration_ms': 213827, 'time_signature': 4}",86,87,dance pop,213826,2012-12-07
3,Perfect,Ed Sheeran,÷ (Deluxe),"{'danceability': 0.599, 'energy': 0.448, 'key': 8, 'loudness': -6.312, 'mode': 1, 'speechiness': 0.0232, 'acousticness': 0.163, 'instrumentalness': 0, 'liveness': 0.106, 'valence': 0.168, 'tempo': 95.05, 'type': 'audio_features', 'id': '0tgVpDi06FyKpA1z0VMD4v', 'uri': 'spotify:track:0tgVpDi06FyKpA1z0VMD4v', 'track_href': 'https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v', 'duration_ms': 263400, 'time_signature': 3}",84,86,pop,263400,2017-03-03
4,All of Me,John Legend,Love In The Future (Expanded Edition),"{'danceability': 0.422, 'energy': 0.264, 'key': 8, 'loudness': -7.064, 'mode': 1, 'speechiness': 0.0322, 'acousticness': 0.922, 'instrumentalness': 0, 'liveness': 0.132, 'valence': 0.331, 'tempo': 119.93, 'type': 'audio_features', 'id': '3U4isOIWM3VvDubwSI3y7a', 'uri': 'spotify:track:3U4isOIWM3VvDubwSI3y7a', 'track_href': 'https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a', 'duration_ms': 269560, 'time_signature': 4}",73,86,neo soul,269560,2013-08-30
5,Just Give Me a Reason (feat. Nate Ruess),P!nk,The Truth About Love,"{'danceability': 0.778, 'energy': 0.547, 'key': 2, 'loudness': -7.273, 'mode': 1, 'speechiness': 0.0489, 'acousticness': 0.344, 'instrumentalness': 0.000306, 'liveness': 0.132, 'valence': 0.442, 'tempo': 95.0, 'type': 'audio_features', 'id': '1mKXFLRA179hdOWQBwUk9e', 'uri': 'spotify:track:1mKXFLRA179hdOWQBwUk9e', 'track_href': 'https://api.spotify.com/v1/tracks/1mKXFLRA179hdOWQBwUk9e', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1mKXFLRA179hdOWQBwUk9e', 'duration_ms': 242733, 'time_signature': 4}",78,84,dance pop,242733,2012-09-18
6,If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,"{'danceability': 0.609, 'energy': 0.444, 'key': 7, 'loudness': -9.129, 'mode': 1, 'speechiness': 0.106, 'acousticness': 0.603, 'instrumentalness': 6.86e-06, 'liveness': 0.104, 'valence': 0.166, 'tempo': 118.402, 'type': 'audio_features', 'id': '3XVBdLihbNbxUwZosxcGuJ', 'uri': 'spotify:track:3XVBdLihbNbxUwZosxcGuJ', 'track_href': 'https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ', 'duration_ms': 228707, 'time_signature': 3}",75,80,neo soul,228706,2003-12-02
7,Your Song,Elton John,Elton John,"{'danceability': 0.552, 'energy': 0.315, 'key': 3, 'loudness': -11.028, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.828, 'instrumentalness': 5.52e-06, 'liveness': 0.101, 'valence': 0.324, 'tempo': 128.187, 'type': 'audio_features', 'id': '38zsOOcu31XbbYj9BIPUF1', 'uri': 'spotify:track:38zsOOcu31XbbYj9BIPUF1', 'track_href': 'https://api.spotify.com/v1/tracks/38zsOOcu31XbbYj9BIPUF1', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/38zsOOcu31XbbYj9BIPUF1', 'duration_ms': 241787, 'time_signature': 4}",80,80,glam rock,241786,1970-04-10
8,I Want to Know What Love Is - 1999 Remaster,Foreigner,Agent Provocateur,"{'danceability': 0.477, 'energy': 0.471, 'key': 6, 'loudness': -10.036, 'mode': 1, 'speechiness': 0.0277, 'acousticness': 0.193, 'instrumentalness': 1.76e-06, 'liveness': 0.131, 'valence': 0.423, 'tempo': 81.204, 'type': 'audio_features', 'id': '1JLn8RhQzHz3qDqsChcmBl', 'uri': 'spotify:track:1JLn8RhQzHz3qDqsChcmBl', 'track_href': 'https://api.spotify.com/v1/tracks/1JLn8RhQzHz3qDqsChcmBl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1JLn8RhQzHz3qDqsChcmBl', 'duration_ms': 304787, 'time_signature': 4}",67,80,album rock,304786,1984-12-12
9,Photograph,Ed Sheeran,x (Deluxe Edition),"{'danceability': 0.614, 'energy': 0.379, 'key': 4, 'loudness': -10.48, 'mode': 1, 'speechiness': 0.0476, 'acousticness': 0.607, 'instrumentalness': 0.000464, 'liveness': 0.0986, 'valence': 0.201, 'tempo': 107.989, 'type': 'audio_features', 'id': '1HNkqx9Ahdgi1Ixy2xkKkL', 'uri': 'spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL', 'track_href': 'https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1HNkqx9Ahdgi1Ixy2xkKkL', 'duration_ms': 258987, 'time_signature': 4}",84,83,pop,258986,2014-06-21
10,Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,"{'danceability': 0.635, 'energy': 0.841, 'key': 5, 'loudness': -5.379, 'mode': 1, 'speechiness': 0.0422, 'acousticness': 0.0134, 'instrumentalness': 0, 'liveness': 0.0622, 'valence': 0.424, 'tempo': 109.021, 'type': 'audio_features', 'id': '47Slg6LuqLaX0VodpSCvPt', 'uri': 'spotify:track:47Slg6LuqLaX0VodpSCvPt', 'track_href': 'https://api.spotify.com/v1/tracks/47Slg6LuqLaX0VodpSCvPt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/47Slg6LuqLaX0VodpSCvPt', 'duration_ms': 220734, 'time_signature': 4}",86,80,dance pop,220734,2010-10-05
