,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,burbank house,tsubi club,burbank house,"{'danceability': 0.647, 'energy': 0.732, 'key': 11, 'loudness': -4.056, 'mode': 0, 'speechiness': 0.227, 'acousticness': 0.00753, 'instrumentalness': 0, 'liveness': 0.186, 'valence': 0.935, 'tempo': 169.988, 'type': 'audio_features', 'id': '3DErMJzUrtfGUjet3xpUml', 'uri': 'spotify:track:3DErMJzUrtfGUjet3xpUml', 'track_href': 'https://api.spotify.com/v1/tracks/3DErMJzUrtfGUjet3xpUml', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3DErMJzUrtfGUjet3xpUml', 'duration_ms': 101647, 'time_signature': 4}",32,53,hyperpop,101647,2021-10-14
1,Hug Me,Pharrell Williams,Despicable Me 3 (Original Motion Picture Soundtrack),"{'danceability': 0.842, 'energy': 0.622, 'key': 0, 'loudness': -5.437, 'mode': 1, 'speechiness': 0.0967, 'acousticness': 0.0684, 'instrumentalness': 0, 'liveness': 0.33, 'valence': 0.587, 'tempo': 139.927, 'type': 'audio_features', 'id': '6eVM9lCmIqwGTUOoeH61Lu', 'uri': 'spotify:track:6eVM9lCmIqwGTUOoeH61Lu', 'track_href': 'https://api.spotify.com/v1/tracks/6eVM9lCmIqwGTUOoeH61Lu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6eVM9lCmIqwGTUOoeH61Lu', 'duration_ms': 140733, 'time_signature': 4}",76,62,dance pop,140733,2017-06-23
2,Welcome to Tally Hall,Tally Hall,Marvin's Marvelous Mechanical Museum,"{'danceability': 0.714, 'energy': 0.785, 'key': 4, 'loudness': -6.682, 'mode': 1, 'speechiness': 0.278, 'acousticness': 0.111, 'instrumentalness': 1.53e-05, 'liveness': 0.31, 'valence': 0.54, 'tempo': 101.088, 'type': 'audio_features', 'id': '1xl3AuutgtES9NlHCgcKQN', 'uri': 'spotify:track:1xl3AuutgtES9NlHCgcKQN', 'track_href': 'https://api.spotify.com/v1/tracks/1xl3AuutgtES9NlHCgcKQN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1xl3AuutgtES9NlHCgcKQN', 'duration_ms': 310560, 'time_signature': 4}",62,50,ann arbor indie,310560,2005-10-24
3,Little Dark Age,MGMT,Little Dark Age,"{'danceability': 0.705, 'energy': 0.712, 'key': 6, 'loudness': -6.156, 'mode': 1, 'speechiness': 0.0385, 'acousticness': 0.0102, 'instrumentalness': 0.000855, 'liveness': 0.1, 'valence': 0.62, 'tempo': 97.512, 'type': 'audio_features', 'id': '2Y0iGXY6m6immVb2ktbseM', 'uri': 'spotify:track:2Y0iGXY6m6immVb2ktbseM', 'track_href': 'https://api.spotify.com/v1/tracks/2Y0iGXY6m6immVb2ktbseM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2Y0iGXY6m6immVb2ktbseM', 'duration_ms': 299960, 'time_signature': 4}",71,78,alternative rock,299960,2018-02-09
4,NEW MAGIC WAND,"Tyler, The Creator",IGOR,"{'danceability': 0.621, 'energy': 0.73, 'key': 5, 'loudness': -5.414, 'mode': 0, 'speechiness': 0.107, 'acousticness': 0.0967, 'instrumentalness': 0.000131, 'liveness': 0.673, 'valence': 0.464, 'tempo': 139.566, 'type': 'audio_features', 'id': '0fv2KH6hac06J86hBUTcSf', 'uri': 'spotify:track:0fv2KH6hac06J86hBUTcSf', 'track_href': 'https://api.spotify.com/v1/tracks/0fv2KH6hac06J86hBUTcSf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0fv2KH6hac06J86hBUTcSf', 'duration_ms': 195320, 'time_signature': 4}",82,81,hip hop,195320,2019-05-17
5,Numbers,TEMPOREX,Numbers,"{'danceability': 0.423, 'energy': 0.332, 'key': 6, 'loudness': -10.761, 'mode': 1, 'speechiness': 0.0288, 'acousticness': 0.474, 'instrumentalness': 0, 'liveness': 0.0993, 'valence': 0.5, 'tempo': 93.958, 'type': 'audio_features', 'id': '4GuZMzKXJSoWhwHUqRa0fm', 'uri': 'spotify:track:4GuZMzKXJSoWhwHUqRa0fm', 'track_href': 'https://api.spotify.com/v1/tracks/4GuZMzKXJSoWhwHUqRa0fm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4GuZMzKXJSoWhwHUqRa0fm', 'duration_ms': 127973, 'time_signature': 4}",52,69,bedroom pop,127972,2017-05-16
6,Lawnmower,Lemon Demon,Dinosaurchestra,"{'danceability': 0.705, 'energy': 0.58, 'key': 0, 'loudness': -10.048, 'mode': 1, 'speechiness': 0.048, 'acousticness': 0.442, 'instrumentalness': 0.112, 'liveness': 0.0999, 'valence': 0.802, 'tempo': 83.0, 'type': 'audio_features', 'id': '3NiEYeUNaYZBWPNETqac1I', 'uri': 'spotify:track:3NiEYeUNaYZBWPNETqac1I', 'track_href': 'https://api.spotify.com/v1/tracks/3NiEYeUNaYZBWPNETqac1I', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3NiEYeUNaYZBWPNETqac1I', 'duration_ms': 193849, 'time_signature': 4}",59,42,indietronica,193848,2006-07-20
7,Lovers Rock,TV Girl,French Exit,"{'danceability': 0.559, 'energy': 0.871, 'key': 5, 'loudness': -5.338, 'mode': 0, 'speechiness': 0.0397, 'acousticness': 7.53e-06, 'instrumentalness': 0.00545, 'liveness': 0.096, 'valence': 0.572, 'tempo': 104.97, 'type': 'audio_features', 'id': '6dBUzqjtbnIa1TwYbyw5CM', 'uri': 'spotify:track:6dBUzqjtbnIa1TwYbyw5CM', 'track_href': 'https://api.spotify.com/v1/tracks/6dBUzqjtbnIa1TwYbyw5CM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6dBUzqjtbnIa1TwYbyw5CM', 'duration_ms': 213920, 'time_signature': 4}",79,88,pov: indie,213920,2014-06-05
8,Sad Clown,Panic! At The Disco,Viva Las Vengeance,"{'danceability': 0.435, 'energy': 0.852, 'key': 10, 'loudness': -5.507, 'mode': 1, 'speechiness': 0.108, 'acousticness': 7.1e-05, 'instrumentalness': 0.000863, 'liveness': 0.113, 'valence': 0.373, 'tempo': 144.815, 'type': 'audio_features', 'id': '6dXgd9fAFuvPZClNaldbLe', 'uri': 'spotify:track:6dXgd9fAFuvPZClNaldbLe', 'track_href': 'https://api.spotify.com/v1/tracks/6dXgd9fAFuvPZClNaldbLe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6dXgd9fAFuvPZClNaldbLe', 'duration_ms': 226069, 'time_signature': 4}",74,40,modern rock,226069,2022-08-19
9,I Must Apologise,PinkPantheress,to hell with it,"{'danceability': 0.616, 'energy': 0.856, 'key': 9, 'loudness': -6.098, 'mode': 1, 'speechiness': 0.0457, 'acousticness': 0.516, 'instrumentalness': 0.0652, 'liveness': 0.245, 'valence': 0.75, 'tempo': 157.109, 'type': 'audio_features', 'id': '2rrq3SGYxk90xLx5fMmPhZ', 'uri': 'spotify:track:2rrq3SGYxk90xLx5fMmPhZ', 'track_href': 'https://api.spotify.com/v1/tracks/2rrq3SGYxk90xLx5fMmPhZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2rrq3SGYxk90xLx5fMmPhZ', 'duration_ms': 108373, 'time_signature': 4}",72,72,bedroom pop,108373,2021-10-15
10,"Marsha, Thankk You for the Dialectics, but I Need You to Leave",Will Wood,The Normal Album,"{'danceability': 0.306, 'energy': 0.832, 'key': 0, 'loudness': -7.766, 'mode': 1, 'speechiness': 0.0826, 'acousticness': 0.132, 'instrumentalness': 7.82e-06, 'liveness': 0.0872, 'valence': 0.326, 'tempo': 166.995, 'type': 'audio_features', 'id': '0frg99CmmIkDNRm15gMoGY', 'uri': 'spotify:track:0frg99CmmIkDNRm15gMoGY', 'track_href': 'https://api.spotify.com/v1/tracks/0frg99CmmIkDNRm15gMoGY', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0frg99CmmIkDNRm15gMoGY', 'duration_ms': 319768, 'time_signature': 4}",58,50,pov: indie,319768,2020-07-10
11,BlackBoxWarrior - OKULTRA,Will Wood,The Normal Album,"{'danceability': 0.606, 'energy': 0.916, 'key': 2, 'loudness': -7.051, 'mode': 1, 'speechiness': 0.106, 'acousticness': 0.108, 'instrumentalness': 2.2e-05, 'liveness': 0.136, 'valence': 0.583, 'tempo': 161.121, 'type': 'audio_features', 'id': '1WeNLbQCDJ1JnF5LjReC8t', 'uri': 'spotify:track:1WeNLbQCDJ1JnF5LjReC8t', 'track_href': 'https://api.spotify.com/v1/tracks/1WeNLbQCDJ1JnF5LjReC8t', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1WeNLbQCDJ1JnF5LjReC8t', 'duration_ms': 294138, 'time_signature': 4}",58,54,pov: indie,294138,2020-07-10
12,"Love, Me Normally",Will Wood,The Normal Album,"{'danceability': 0.588, 'energy': 0.633, 'key': 5, 'loudness': -7.255, 'mode': 1, 'speechiness': 0.0447, 'acousticness': 0.397, 'instrumentalness': 0, 'liveness': 0.322, 'valence': 0.506, 'tempo': 112.553, 'type': 'audio_features', 'id': '49StY6V4Cus0xM0GhieSrT', 'uri': 'spotify:track:49StY6V4Cus0xM0GhieSrT', 'track_href': 'https://api.spotify.com/v1/tracks/49StY6V4Cus0xM0GhieSrT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/49StY6V4Cus0xM0GhieSrT', 'duration_ms': 344267, 'time_signature': 3}",58,57,pov: indie,344266,2020-07-10
