,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Fallen Leaves,Billy Talent,Billy Talent II,"{'danceability': 0.71, 'energy': 0.811, 'key': 3, 'loudness': -4.079, 'mode': 1, 'speechiness': 0.0431, 'acousticness': 0.00105, 'instrumentalness': 2.08e-06, 'liveness': 0.0677, 'valence': 0.914, 'tempo': 123.048, 'type': 'audio_features', 'id': '3jUTjCISntIUFL8jnAjzgc', 'uri': 'spotify:track:3jUTjCISntIUFL8jnAjzgc', 'track_href': 'https://api.spotify.com/v1/tracks/3jUTjCISntIUFL8jnAjzgc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3jUTjCISntIUFL8jnAjzgc', 'duration_ms': 199200, 'time_signature': 4}",60,65,canadian punk,199200,2006-06-23
1,Red Flag,Billy Talent,Billy Talent II,"{'danceability': 0.564, 'energy': 0.865, 'key': 2, 'loudness': -7.384, 'mode': 1, 'speechiness': 0.121, 'acousticness': 0.000583, 'instrumentalness': 0, 'liveness': 0.056, 'valence': 0.726, 'tempo': 183.052, 'type': 'audio_features', 'id': '2RZWdE8kYPlCAcRUYDeuLC', 'uri': 'spotify:track:2RZWdE8kYPlCAcRUYDeuLC', 'track_href': 'https://api.spotify.com/v1/tracks/2RZWdE8kYPlCAcRUYDeuLC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2RZWdE8kYPlCAcRUYDeuLC', 'duration_ms': 198173, 'time_signature': 4}",60,66,canadian punk,198173,2006-06-23
2,Smells Like Teen Spirit,Nirvana,Nevermind (Deluxe Edition),"{'danceability': 0.502, 'energy': 0.912, 'key': 1, 'loudness': -4.556, 'mode': 1, 'speechiness': 0.0564, 'acousticness': 2.55e-05, 'instrumentalness': 0.000173, 'liveness': 0.106, 'valence': 0.72, 'tempo': 116.761, 'type': 'audio_features', 'id': '1f3yAtsJtY87CTmM8RLnxf', 'uri': 'spotify:track:1f3yAtsJtY87CTmM8RLnxf', 'track_href': 'https://api.spotify.com/v1/tracks/1f3yAtsJtY87CTmM8RLnxf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1f3yAtsJtY87CTmM8RLnxf', 'duration_ms': 301920, 'time_signature': 4}",78,2,grunge,301920,1991-09-26
3,In the End,Linkin Park,Hybrid Theory (Bonus Edition),"{'danceability': 0.556, 'energy': 0.864, 'key': 3, 'loudness': -5.87, 'mode': 0, 'speechiness': 0.0584, 'acousticness': 0.00958, 'instrumentalness': 0, 'liveness': 0.209, 'valence': 0.4, 'tempo': 105.143, 'type': 'audio_features', 'id': '60a0Rd6pjrkxjPbaKzXjfq', 'uri': 'spotify:track:60a0Rd6pjrkxjPbaKzXjfq', 'track_href': 'https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq', 'duration_ms': 216880, 'time_signature': 4}",83,88,alternative metal,216880,2000
4,American Idiot,Green Day,American Idiot,"{'danceability': 0.38, 'energy': 0.988, 'key': 1, 'loudness': -2.042, 'mode': 1, 'speechiness': 0.0639, 'acousticness': 2.64e-05, 'instrumentalness': 7.86e-05, 'liveness': 0.368, 'valence': 0.769, 'tempo': 186.113, 'type': 'audio_features', 'id': '6nTiIhLmQ3FWhvrGafw2zj', 'uri': 'spotify:track:6nTiIhLmQ3FWhvrGafw2zj', 'track_href': 'https://api.spotify.com/v1/tracks/6nTiIhLmQ3FWhvrGafw2zj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6nTiIhLmQ3FWhvrGafw2zj', 'duration_ms': 176346, 'time_signature': 4}",77,80,modern rock,176346,2004-09-21
5,Self Esteem,The Offspring,Greatest Hits,"{'danceability': 0.458, 'energy': 0.912, 'key': 5, 'loudness': -3.666, 'mode': 1, 'speechiness': 0.0618, 'acousticness': 0.0173, 'instrumentalness': 0, 'liveness': 0.363, 'valence': 0.611, 'tempo': 104.522, 'type': 'audio_features', 'id': '6EsBn1Md8C5YdbCzvwvZq8', 'uri': 'spotify:track:6EsBn1Md8C5YdbCzvwvZq8', 'track_href': 'https://api.spotify.com/v1/tracks/6EsBn1Md8C5YdbCzvwvZq8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6EsBn1Md8C5YdbCzvwvZq8', 'duration_ms': 257760, 'time_signature': 4}",74,0,alternative metal,257760,2005-06-21
6,Last Resort,Papa Roach,Infest,"{'danceability': 0.589, 'energy': 0.89, 'key': 4, 'loudness': -3.719, 'mode': 0, 'speechiness': 0.06, 'acousticness': 0.000481, 'instrumentalness': 0.00082, 'liveness': 0.201, 'valence': 0.687, 'tempo': 90.586, 'type': 'audio_features', 'id': '5W8YXBz9MTIDyrpYaCg2Ky', 'uri': 'spotify:track:5W8YXBz9MTIDyrpYaCg2Ky', 'track_href': 'https://api.spotify.com/v1/tracks/5W8YXBz9MTIDyrpYaCg2Ky', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5W8YXBz9MTIDyrpYaCg2Ky', 'duration_ms': 199907, 'time_signature': 4}",69,82,alternative metal,199906,2001-04-25
7,Basket Case,Green Day,Dookie,"{'danceability': 0.442, 'energy': 0.943, 'key': 3, 'loudness': -3.205, 'mode': 1, 'speechiness': 0.0602, 'acousticness': 0.00293, 'instrumentalness': 8.71e-06, 'liveness': 0.091, 'valence': 0.781, 'tempo': 85.064, 'type': 'audio_features', 'id': '6L89mwZXSOwYl76YXfX13s', 'uri': 'spotify:track:6L89mwZXSOwYl76YXfX13s', 'track_href': 'https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6L89mwZXSOwYl76YXfX13s', 'duration_ms': 181533, 'time_signature': 4}",77,82,modern rock,181533,1994-02-01
8,The Kids Aren't Alright,The Offspring,Americana,"{'danceability': 0.523, 'energy': 0.943, 'key': 1, 'loudness': -4.203, 'mode': 1, 'speechiness': 0.0337, 'acousticness': 0.00704, 'instrumentalness': 3.81e-05, 'liveness': 0.0579, 'valence': 0.766, 'tempo': 99.607, 'type': 'audio_features', 'id': '4EchqUKQ3qAQuRNKmeIpnf', 'uri': 'spotify:track:4EchqUKQ3qAQuRNKmeIpnf', 'track_href': 'https://api.spotify.com/v1/tracks/4EchqUKQ3qAQuRNKmeIpnf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4EchqUKQ3qAQuRNKmeIpnf', 'duration_ms': 180160, 'time_signature': 4}",74,83,alternative metal,180160,1998-11-16
9,Song 2 - 2012 Remaster,Blur,Blur (Special Edition),"{'danceability': 0.674, 'energy': 0.789, 'key': 8, 'loudness': -6.903, 'mode': 1, 'speechiness': 0.0676, 'acousticness': 0.00178, 'instrumentalness': 0.00708, 'liveness': 0.0753, 'valence': 0.918, 'tempo': 129.802, 'type': 'audio_features', 'id': '1FTSo4v6BOZH9QxKc3MbVM', 'uri': 'spotify:track:1FTSo4v6BOZH9QxKc3MbVM', 'track_href': 'https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1FTSo4v6BOZH9QxKc3MbVM', 'duration_ms': 121160, 'time_signature': 4}",66,81,alternative rock,121160,1997-02-10
