,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,"{'danceability': 0.8, 'energy': 0.585, 'key': 10, 'loudness': -7.343, 'mode': 1, 'speechiness': 0.0924, 'acousticness': 0.264, 'instrumentalness': 0, 'liveness': 0.153, 'valence': 0.779, 'tempo': 126.058, 'type': 'audio_features', 'id': '6PGoSes0D9eUDeeAafB2As', 'uri': 'spotify:track:6PGoSes0D9eUDeeAafB2As', 'track_href': 'https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As', 'duration_ms': 213400, 'time_signature': 4}",91,84,conscious hip hop,213400,2017-04-14
1,Flaws And Sins,Juice WRLD,Death Race For Love,"{'danceability': 0.709, 'energy': 0.662, 'key': 8, 'loudness': -4.55, 'mode': 1, 'speechiness': 0.0766, 'acousticness': 0.00966, 'instrumentalness': 0, 'liveness': 0.108, 'valence': 0.439, 'tempo': 150.046, 'type': 'audio_features', 'id': '2BSbCCbaSCzkOEZa6N5901', 'uri': 'spotify:track:2BSbCCbaSCzkOEZa6N5901', 'track_href': 'https://api.spotify.com/v1/tracks/2BSbCCbaSCzkOEZa6N5901', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2BSbCCbaSCzkOEZa6N5901', 'duration_ms': 218349, 'time_signature': 4}",84,0,chicago rap,218348,2019-03-08
2,Martin & Gina,Polo G,THE GOAT,"{'danceability': 0.832, 'energy': 0.534, 'key': 1, 'loudness': -7.813, 'mode': 0, 'speechiness': 0.253, 'acousticness': 0.345, 'instrumentalness': 0, 'liveness': 0.165, 'valence': 0.116, 'tempo': 93.924, 'type': 'audio_features', 'id': '1VLtjHwRWOVJiE5Py7JxoQ', 'uri': 'spotify:track:1VLtjHwRWOVJiE5Py7JxoQ', 'track_href': 'https://api.spotify.com/v1/tracks/1VLtjHwRWOVJiE5Py7JxoQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1VLtjHwRWOVJiE5Py7JxoQ', 'duration_ms': 132833, 'time_signature': 4}",77,81,chicago rap,132832,2020-05-15
3,Sparks Will Fly (feat. Jhené Aiko),J. Cole,Born Sinner (Deluxe Version),"{'danceability': 0.502, 'energy': 0.821, 'key': 1, 'loudness': -6.904, 'mode': 0, 'speechiness': 0.23, 'acousticness': 0.0674, 'instrumentalness': 0, 'liveness': 0.15, 'valence': 0.683, 'tempo': 122.835, 'type': 'audio_features', 'id': '5fBoh0hqi7shM8a8nfPnDB', 'uri': 'spotify:track:5fBoh0hqi7shM8a8nfPnDB', 'track_href': 'https://api.spotify.com/v1/tracks/5fBoh0hqi7shM8a8nfPnDB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5fBoh0hqi7shM8a8nfPnDB', 'duration_ms': 252053, 'time_signature': 5}",84,59,conscious hip hop,252053,2013-06-18
4,Love Is Only a Feeling,Joey Bada$$,Love Is Only a Feeling,"{'danceability': 0.629, 'energy': 0.676, 'key': 1, 'loudness': -7.088, 'mode': 0, 'speechiness': 0.191, 'acousticness': 0.53, 'instrumentalness': 0.000325, 'liveness': 0.701, 'valence': 0.497, 'tempo': 90.377, 'type': 'audio_features', 'id': '7umZiitjVsEjMQ6HNddpUI', 'uri': 'spotify:track:7umZiitjVsEjMQ6HNddpUI', 'track_href': 'https://api.spotify.com/v1/tracks/7umZiitjVsEjMQ6HNddpUI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7umZiitjVsEjMQ6HNddpUI', 'duration_ms': 152041, 'time_signature': 4}",69,77,conscious hip hop,152041,2017-07-06
5,Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe),"{'danceability': 0.48, 'energy': 0.602, 'key': 10, 'loudness': -6.335, 'mode': 0, 'speechiness': 0.368, 'acousticness': 0.487, 'instrumentalness': 0, 'liveness': 0.0848, 'valence': 0.269, 'tempo': 179.798, 'type': 'audio_features', 'id': '3mZNztgWFsvm9wfcqSOdKg', 'uri': 'spotify:track:3mZNztgWFsvm9wfcqSOdKg', 'track_href': 'https://api.spotify.com/v1/tracks/3mZNztgWFsvm9wfcqSOdKg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3mZNztgWFsvm9wfcqSOdKg', 'duration_ms': 213333, 'time_signature': 4}",77,49,brooklyn drill,213333,2020-07-20
6,Hide (feat. Seezyn),Juice WRLD,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),"{'danceability': 0.715, 'energy': 0.638, 'key': 5, 'loudness': -5.017, 'mode': 0, 'speechiness': 0.0751, 'acousticness': 0.0616, 'instrumentalness': 0, 'liveness': 0.157, 'valence': 0.151, 'tempo': 149.999, 'type': 'audio_features', 'id': '6rz0dTA0PdhXImFV5EjM0w', 'uri': 'spotify:track:6rz0dTA0PdhXImFV5EjM0w', 'track_href': 'https://api.spotify.com/v1/tracks/6rz0dTA0PdhXImFV5EjM0w', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6rz0dTA0PdhXImFV5EjM0w', 'duration_ms': 205800, 'time_signature': 4}",84,73,chicago rap,205800,2018-12-14
7,Heart Mind,Kodak Black,FEMA (Finesse Elevate Motivate Achieve),"{'danceability': 0.921, 'energy': 0.641, 'key': 1, 'loudness': -6.491, 'mode': 1, 'speechiness': 0.166, 'acousticness': 0.0274, 'instrumentalness': 0, 'liveness': 0.0645, 'valence': 0.828, 'tempo': 144.986, 'type': 'audio_features', 'id': '2OPxM2L3KtuehqY24vTMGs', 'uri': 'spotify:track:2OPxM2L3KtuehqY24vTMGs', 'track_href': 'https://api.spotify.com/v1/tracks/2OPxM2L3KtuehqY24vTMGs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2OPxM2L3KtuehqY24vTMGs', 'duration_ms': 203840, 'time_signature': 4}",78,66,florida drill,203840,2017-10-31
8,Hope,XXXTENTACION,?,"{'danceability': 0.592, 'energy': 0.457, 'key': 9, 'loudness': -6.081, 'mode': 0, 'speechiness': 0.0603, 'acousticness': 0.661, 'instrumentalness': 0.000331, 'liveness': 0.146, 'valence': 0.225, 'tempo': 146.04, 'type': 'audio_features', 'id': '2ZRo7axmMPeSVUvDbGkJah', 'uri': 'spotify:track:2ZRo7axmMPeSVUvDbGkJah', 'track_href': 'https://api.spotify.com/v1/tracks/2ZRo7axmMPeSVUvDbGkJah', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2ZRo7axmMPeSVUvDbGkJah', 'duration_ms': 110886, 'time_signature': 4}",85,84,emo rap,110886,2018-03-16
9,Head Melodies,Luh Kel,Head Melodies,"{'danceability': 0.753, 'energy': 0.488, 'key': 2, 'loudness': -8.617, 'mode': 0, 'speechiness': 0.282, 'acousticness': 0.499, 'instrumentalness': 0, 'liveness': 0.161, 'valence': 0.487, 'tempo': 134.951, 'type': 'audio_features', 'id': '0AyY8MxDo1xasovQD79Man', 'uri': 'spotify:track:0AyY8MxDo1xasovQD79Man', 'track_href': 'https://api.spotify.com/v1/tracks/0AyY8MxDo1xasovQD79Man', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0AyY8MxDo1xasovQD79Man', 'duration_ms': 231111, 'time_signature': 4}",53,4,pop r&b,231111,2023-11-10
