,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Normal,Sasha Alex Sloan,sad girl,"{'danceability': 0.749, 'energy': 0.419, 'key': 5, 'loudness': -9.41, 'mode': 1, 'speechiness': 0.0719, 'acousticness': 0.528, 'instrumentalness': 7.85e-06, 'liveness': 0.113, 'valence': 0.279, 'tempo': 120.166, 'type': 'audio_features', 'id': '64sp7I8wf70B7OLOpih6XJ', 'uri': 'spotify:track:64sp7I8wf70B7OLOpih6XJ', 'track_href': 'https://api.spotify.com/v1/tracks/64sp7I8wf70B7OLOpih6XJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/64sp7I8wf70B7OLOpih6XJ', 'duration_ms': 192200, 'time_signature': 4}",66,43,alt z,192200,2018-04-18
1,Runaway,Sasha Alex Sloan,sad girl,"{'danceability': 0.676, 'energy': 0.405, 'key': 5, 'loudness': -8.272, 'mode': 1, 'speechiness': 0.0376, 'acousticness': 0.732, 'instrumentalness': 5.88e-05, 'liveness': 0.103, 'valence': 0.208, 'tempo': 139.975, 'type': 'audio_features', 'id': '2UGpJ5or8EJVtcFuNdyFgg', 'uri': 'spotify:track:2UGpJ5or8EJVtcFuNdyFgg', 'track_href': 'https://api.spotify.com/v1/tracks/2UGpJ5or8EJVtcFuNdyFgg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2UGpJ5or8EJVtcFuNdyFgg', 'duration_ms': 217413, 'time_signature': 4}",66,34,alt z,217413,2018-04-18
2,Older,Sasha Alex Sloan,Older,"{'danceability': 0.681, 'energy': 0.292, 'key': 11, 'loudness': -9.599, 'mode': 1, 'speechiness': 0.0483, 'acousticness': 0.743, 'instrumentalness': 0, 'liveness': 0.0974, 'valence': 0.162, 'tempo': 64.002, 'type': 'audio_features', 'id': '52iLDrSoRtf9lcgFuLVfqE', 'uri': 'spotify:track:52iLDrSoRtf9lcgFuLVfqE', 'track_href': 'https://api.spotify.com/v1/tracks/52iLDrSoRtf9lcgFuLVfqE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/52iLDrSoRtf9lcgFuLVfqE', 'duration_ms': 191002, 'time_signature': 4}",66,68,alt z,191001,2018-11-09
3,Faking It,Sasha Alex Sloan,Faking It,"{'danceability': 0.646, 'energy': 0.371, 'key': 1, 'loudness': -8.645, 'mode': 0, 'speechiness': 0.0575, 'acousticness': 0.319, 'instrumentalness': 0, 'liveness': 0.218, 'valence': 0.24, 'tempo': 81.096, 'type': 'audio_features', 'id': '0olEV0xHPcpVOPZfg4MSgR', 'uri': 'spotify:track:0olEV0xHPcpVOPZfg4MSgR', 'track_href': 'https://api.spotify.com/v1/tracks/0olEV0xHPcpVOPZfg4MSgR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0olEV0xHPcpVOPZfg4MSgR', 'duration_ms': 167625, 'time_signature': 4}",66,39,alt z,167625,2018-09-27
4,The Best You Had,Nina Nesbitt,"The Sun Will Come up, The Seasons Will Change","{'danceability': 0.69, 'energy': 0.582, 'key': 5, 'loudness': -6.259, 'mode': 0, 'speechiness': 0.0333, 'acousticness': 0.358, 'instrumentalness': 0, 'liveness': 0.0776, 'valence': 0.448, 'tempo': 122.02, 'type': 'audio_features', 'id': '3i0VfLdOUCks9DmAht65XI', 'uri': 'spotify:track:3i0VfLdOUCks9DmAht65XI', 'track_href': 'https://api.spotify.com/v1/tracks/3i0VfLdOUCks9DmAht65XI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3i0VfLdOUCks9DmAht65XI', 'duration_ms': 176853, 'time_signature': 4}",50,50,alt z,176853,2019-02-01
5,better off,Jeremy Zucker,glisten,"{'danceability': 0.707, 'energy': 0.322, 'key': 8, 'loudness': -12.46, 'mode': 0, 'speechiness': 0.0371, 'acousticness': 0.745, 'instrumentalness': 9.26e-05, 'liveness': 0.137, 'valence': 0.459, 'tempo': 98.892, 'type': 'audio_features', 'id': '7bdYxWPCs46dQ0XLwySOyv', 'uri': 'spotify:track:7bdYxWPCs46dQ0XLwySOyv', 'track_href': 'https://api.spotify.com/v1/tracks/7bdYxWPCs46dQ0XLwySOyv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7bdYxWPCs46dQ0XLwySOyv', 'duration_ms': 193947, 'time_signature': 4}",65,60,alt z,193946,2018-05-04
6,Bad Idea,pxzvc,Bad Idea,"{'danceability': 0.852, 'energy': 0.41, 'key': 0, 'loudness': -9.498, 'mode': 1, 'speechiness': 0.0602, 'acousticness': 0.0848, 'instrumentalness': 0.167, 'liveness': 0.142, 'valence': 0.467, 'tempo': 122.054, 'type': 'audio_features', 'id': '1D5q7cBDHLBDbzQDVrS6E3', 'uri': 'spotify:track:1D5q7cBDHLBDbzQDVrS6E3', 'track_href': 'https://api.spotify.com/v1/tracks/1D5q7cBDHLBDbzQDVrS6E3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1D5q7cBDHLBDbzQDVrS6E3', 'duration_ms': 114109, 'time_signature': 4}",37,0,future bass,114108,2018-05-11
7,< 3,Bumski,"Luv Me Now, Luv Me Never","{'danceability': 0.796, 'energy': 0.0728, 'key': 11, 'loudness': -18.665, 'mode': 1, 'speechiness': 0.371, 'acousticness': 0.695, 'instrumentalness': 0.000458, 'liveness': 0.443, 'valence': 0.441, 'tempo': 89.886, 'type': 'audio_features', 'id': '2sAoea53RAzxGPJc3Yn03a', 'uri': 'spotify:track:2sAoea53RAzxGPJc3Yn03a', 'track_href': 'https://api.spotify.com/v1/tracks/2sAoea53RAzxGPJc3Yn03a', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2sAoea53RAzxGPJc3Yn03a', 'duration_ms': 88053, 'time_signature': 4}",18,36,,88053,2018-05-24
8,Guardian Angel,XANSEII.,Guardian Angel,"{'danceability': 0.493, 'energy': 0.13, 'key': 7, 'loudness': -20.874, 'mode': 0, 'speechiness': 0.353, 'acousticness': 0.988, 'instrumentalness': 0.0959, 'liveness': 0.158, 'valence': 0.376, 'tempo': 59.895, 'type': 'audio_features', 'id': '0sKpTX1SnZEF3KDBPMv6Wb', 'uri': 'spotify:track:0sKpTX1SnZEF3KDBPMv6Wb', 'track_href': 'https://api.spotify.com/v1/tracks/0sKpTX1SnZEF3KDBPMv6Wb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0sKpTX1SnZEF3KDBPMv6Wb', 'duration_ms': 201201, 'time_signature': 4}",27,22,sad lo-fi,201200,2019-02-08
9,Tell Me,Shiloh Dynasty,Our Remedy,"{'danceability': 0.514, 'energy': 0.285, 'key': 2, 'loudness': -14.065, 'mode': 1, 'speechiness': 0.0842, 'acousticness': 0.719, 'instrumentalness': 0.863, 'liveness': 0.105, 'valence': 0.0749, 'tempo': 144.094, 'type': 'audio_features', 'id': '0uxXRPmROi5bSvFtS6U3c7', 'uri': 'spotify:track:0uxXRPmROi5bSvFtS6U3c7', 'track_href': 'https://api.spotify.com/v1/tracks/0uxXRPmROi5bSvFtS6U3c7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0uxXRPmROi5bSvFtS6U3c7', 'duration_ms': 138361, 'time_signature': 4}",72,31,lo-fi chill,138360,2018-03-19
