,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Believer,Imagine Dragons,Evolve,"{'danceability': 0.776, 'energy': 0.78, 'key': 10, 'loudness': -4.374, 'mode': 0, 'speechiness': 0.128, 'acousticness': 0.0622, 'instrumentalness': 0, 'liveness': 0.081, 'valence': 0.666, 'tempo': 124.949, 'type': 'audio_features', 'id': '0pqnGHJpmpxLKifKRmU6WP', 'uri': 'spotify:track:0pqnGHJpmpxLKifKRmU6WP', 'track_href': 'https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP', 'duration_ms': 204347, 'time_signature': 4}",84,87,modern rock,204346,2017-06-23
1,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),"{'danceability': 0.411, 'energy': 0.404, 'key': 0, 'loudness': -9.928, 'mode': 0, 'speechiness': 0.0511, 'acousticness': 0.271, 'instrumentalness': 0, 'liveness': 0.3, 'valence': 0.226, 'tempo': 71.068, 'type': 'audio_features', 'id': '4u7EnebtmKWzUH433cf5Qv', 'uri': 'spotify:track:4u7EnebtmKWzUH433cf5Qv', 'track_href': 'https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv', 'duration_ms': 354320, 'time_signature': 4}",81,80,classic rock,354320,1975-11-21
2,Mr. Brightside,The Killers,Hot Fuss,"{'danceability': 0.352, 'energy': 0.911, 'key': 1, 'loudness': -5.23, 'mode': 1, 'speechiness': 0.0747, 'acousticness': 0.00121, 'instrumentalness': 0, 'liveness': 0.0995, 'valence': 0.236, 'tempo': 148.033, 'type': 'audio_features', 'id': '003vvx7Niy0yvhvHt4a68B', 'uri': 'spotify:track:003vvx7Niy0yvhvHt4a68B', 'track_href': 'https://api.spotify.com/v1/tracks/003vvx7Niy0yvhvHt4a68B', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/003vvx7Niy0yvhvHt4a68B', 'duration_ms': 222973, 'time_signature': 4}",74,87,alternative rock,222973,2004
3,Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),"{'danceability': 0.559, 'energy': 0.345, 'key': 4, 'loudness': -13.496, 'mode': 1, 'speechiness': 0.0459, 'acousticness': 0.0576, 'instrumentalness': 0.000105, 'liveness': 0.141, 'valence': 0.458, 'tempo': 84.581, 'type': 'audio_features', 'id': '3d9DChrdc6BOeFsbrZ3Is0', 'uri': 'spotify:track:3d9DChrdc6BOeFsbrZ3Is0', 'track_href': 'https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0', 'duration_ms': 264307, 'time_signature': 4}",79,82,alternative rock,264306,1991-09-24
4,Africa,TOTO,Toto IV,"{'danceability': 0.671, 'energy': 0.373, 'key': 9, 'loudness': -18.064, 'mode': 1, 'speechiness': 0.0323, 'acousticness': 0.257, 'instrumentalness': 8.01e-05, 'liveness': 0.0481, 'valence': 0.732, 'tempo': 92.718, 'type': 'audio_features', 'id': '2374M0fQpWi3dLnB54qaLX', 'uri': 'spotify:track:2374M0fQpWi3dLnB54qaLX', 'track_href': 'https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX', 'duration_ms': 295893, 'time_signature': 4}",71,85,album rock,295893,1982-04-08
5,Wonderwall,Oasis,(What's The Story) Morning Glory?,"{'danceability': 0.41, 'energy': 0.854, 'key': 2, 'loudness': -5.609, 'mode': 1, 'speechiness': 0.0366, 'acousticness': 0.00236, 'instrumentalness': 0, 'liveness': 0.133, 'valence': 0.456, 'tempo': 174.584, 'type': 'audio_features', 'id': '1qPbGZqppFwLwcBC1JQ6Vr', 'uri': 'spotify:track:1qPbGZqppFwLwcBC1JQ6Vr', 'track_href': 'https://api.spotify.com/v1/tracks/1qPbGZqppFwLwcBC1JQ6Vr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1qPbGZqppFwLwcBC1JQ6Vr', 'duration_ms': 258907, 'time_signature': 4}",73,71,beatlesque,258906,1995-10-02
6,Last Nite,The Strokes,Is This It,"{'danceability': 0.624, 'energy': 0.91, 'key': 0, 'loudness': -5.703, 'mode': 1, 'speechiness': 0.0297, 'acousticness': 0.0285, 'instrumentalness': 0.000198, 'liveness': 0.0789, 'valence': 0.767, 'tempo': 104.042, 'type': 'audio_features', 'id': '7kzKAuUzOITUauHAhoMoxA', 'uri': 'spotify:track:7kzKAuUzOITUauHAhoMoxA', 'track_href': 'https://api.spotify.com/v1/tracks/7kzKAuUzOITUauHAhoMoxA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7kzKAuUzOITUauHAhoMoxA', 'duration_ms': 193051, 'time_signature': 4}",73,75,alternative rock,193506,2001-07-30
7,Don't Stop Me Now - Remastered 2011,Queen,Jazz (2011 Remaster),"{'danceability': 0.559, 'energy': 0.868, 'key': 5, 'loudness': -5.276, 'mode': 1, 'speechiness': 0.17, 'acousticness': 0.0475, 'instrumentalness': 0.000176, 'liveness': 0.776, 'valence': 0.609, 'tempo': 156.295, 'type': 'audio_features', 'id': '5T8EDUDqKcs6OSOwEsfqG7', 'uri': 'spotify:track:5T8EDUDqKcs6OSOwEsfqG7', 'track_href': 'https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5T8EDUDqKcs6OSOwEsfqG7', 'duration_ms': 209413, 'time_signature': 4}",81,83,classic rock,209413,1978-11-10
8,Don't Stop Believin',Journey,Escape (Bonus Track Version),"{'danceability': 0.5, 'energy': 0.748, 'key': 4, 'loudness': -9.072, 'mode': 1, 'speechiness': 0.0363, 'acousticness': 0.127, 'instrumentalness': 0, 'liveness': 0.447, 'valence': 0.514, 'tempo': 118.852, 'type': 'audio_features', 'id': '4bHsxqR3GMrXTxEPLuK5ue', 'uri': 'spotify:track:4bHsxqR3GMrXTxEPLuK5ue', 'track_href': 'https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4bHsxqR3GMrXTxEPLuK5ue', 'duration_ms': 250987, 'time_signature': 4}",71,31,album rock,250986,1981
9,Do I Wanna Know?,Arctic Monkeys,AM,"{'danceability': 0.548, 'energy': 0.532, 'key': 5, 'loudness': -7.596, 'mode': 1, 'speechiness': 0.0323, 'acousticness': 0.186, 'instrumentalness': 0.000263, 'liveness': 0.217, 'valence': 0.405, 'tempo': 85.03, 'type': 'audio_features', 'id': '5FVd6KXrgO9B3JPmC8OPst', 'uri': 'spotify:track:5FVd6KXrgO9B3JPmC8OPst', 'track_href': 'https://api.spotify.com/v1/tracks/5FVd6KXrgO9B3JPmC8OPst', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5FVd6KXrgO9B3JPmC8OPst', 'duration_ms': 272394, 'time_signature': 4}",82,87,garage rock,272394,2013-09-09
