,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Paranoid,Black Sabbath,Paranoid (Deluxe Edition),"{'danceability': 0.423, 'energy': 0.685, 'key': 4, 'loudness': -9.651, 'mode': 0, 'speechiness': 0.078, 'acousticness': 6.28e-05, 'instrumentalness': 0.00642, 'liveness': 0.133, 'valence': 0.328, 'tempo': 162.78, 'type': 'audio_features', 'id': '3q9G9SvgdfE1fxlvoDIb20', 'uri': 'spotify:track:3q9G9SvgdfE1fxlvoDIb20', 'track_href': 'https://api.spotify.com/v1/tracks/3q9G9SvgdfE1fxlvoDIb20', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3q9G9SvgdfE1fxlvoDIb20', 'duration_ms': 167720, 'time_signature': 4}",70,0,album rock,167720,1970-09-18
1,Ace Of Spades,Motörhead,Ace Of Spades (Reissue - Expanded Bonus Track Edition),"{'danceability': 0.324, 'energy': 0.991, 'key': 6, 'loudness': -4.465, 'mode': 1, 'speechiness': 0.197, 'acousticness': 0.00247, 'instrumentalness': 0.00895, 'liveness': 0.104, 'valence': 0.195, 'tempo': 140.245, 'type': 'audio_features', 'id': '47FyQCd3TYLrZ9TU6MPaWK', 'uri': 'spotify:track:47FyQCd3TYLrZ9TU6MPaWK', 'track_href': 'https://api.spotify.com/v1/tracks/47FyQCd3TYLrZ9TU6MPaWK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/47FyQCd3TYLrZ9TU6MPaWK', 'duration_ms': 166707, 'time_signature': 4}",61,0,alternative metal,166706,1980-11-08
2,Fear of the Dark - 2015 Remaster,Iron Maiden,Fear of the Dark (2015 Remaster),"{'danceability': 0.308, 'energy': 0.866, 'key': 2, 'loudness': -5.671, 'mode': 0, 'speechiness': 0.059, 'acousticness': 0.000739, 'instrumentalness': 0.00141, 'liveness': 0.232, 'valence': 0.227, 'tempo': 109.825, 'type': 'audio_features', 'id': '6p8eFfPw3nQkf37aT3AkmK', 'uri': 'spotify:track:6p8eFfPw3nQkf37aT3AkmK', 'track_href': 'https://api.spotify.com/v1/tracks/6p8eFfPw3nQkf37aT3AkmK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6p8eFfPw3nQkf37aT3AkmK', 'duration_ms': 438120, 'time_signature': 4}",69,70,alternative metal,438120,1992
3,Crazy Train,Ozzy Osbourne,Blizzard of Ozz (Expanded Edition),"{'danceability': 0.453, 'energy': 0.905, 'key': 9, 'loudness': -4.001, 'mode': 1, 'speechiness': 0.115, 'acousticness': 0.36, 'instrumentalness': 0.000569, 'liveness': 0.26, 'valence': 0.474, 'tempo': 137.571, 'type': 'audio_features', 'id': '2b9lp5A6CqSzwOrBfAFhof', 'uri': 'spotify:track:2b9lp5A6CqSzwOrBfAFhof', 'track_href': 'https://api.spotify.com/v1/tracks/2b9lp5A6CqSzwOrBfAFhof', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2b9lp5A6CqSzwOrBfAFhof', 'duration_ms': 296200, 'time_signature': 4}",68,0,album rock,296200,1980-09-20
4,The Number Of The Beast - 1998 Remastered Version,Iron Maiden,The Number Of The Beast (1998 Remastered Edition),"{'danceability': 0.42, 'energy': 0.93, 'key': 2, 'loudness': -5.583, 'mode': 0, 'speechiness': 0.0638, 'acousticness': 0.0189, 'instrumentalness': 0.00675, 'liveness': 0.264, 'valence': 0.344, 'tempo': 99.641, 'type': 'audio_features', 'id': '1s4Ie0cT6P73SRSfh3oyGW', 'uri': 'spotify:track:1s4Ie0cT6P73SRSfh3oyGW', 'track_href': 'https://api.spotify.com/v1/tracks/1s4Ie0cT6P73SRSfh3oyGW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1s4Ie0cT6P73SRSfh3oyGW', 'duration_ms': 291373, 'time_signature': 4}",69,0,alternative metal,291373,1982
5,Raining Blood,Slayer,Reign In Blood (Expanded),"{'danceability': 0.227, 'energy': 0.995, 'key': 10, 'loudness': -4.361, 'mode': 0, 'speechiness': 0.173, 'acousticness': 0.000405, 'instrumentalness': 0.393, 'liveness': 0.127, 'valence': 0.0363, 'tempo': 87.499, 'type': 'audio_features', 'id': '4fiOTntQKr24p07FvQDHZE', 'uri': 'spotify:track:4fiOTntQKr24p07FvQDHZE', 'track_href': 'https://api.spotify.com/v1/tracks/4fiOTntQKr24p07FvQDHZE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4fiOTntQKr24p07FvQDHZE', 'duration_ms': 255187, 'time_signature': 4}",63,68,alternative metal,255186,1986-01-01
6,Hallowed Be Thy Name - 1998 Remastered Version,Iron Maiden,The Number Of The Beast (1998 Remastered Edition),"{'danceability': 0.304, 'energy': 0.909, 'key': 9, 'loudness': -5.162, 'mode': 1, 'speechiness': 0.0362, 'acousticness': 0.00185, 'instrumentalness': 0.122, 'liveness': 0.362, 'valence': 0.348, 'tempo': 103.99, 'type': 'audio_features', 'id': '1iGXvUsVVkYBas0Cniw6NB', 'uri': 'spotify:track:1iGXvUsVVkYBas0Cniw6NB', 'track_href': 'https://api.spotify.com/v1/tracks/1iGXvUsVVkYBas0Cniw6NB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1iGXvUsVVkYBas0Cniw6NB', 'duration_ms': 432800, 'time_signature': 4}",69,0,alternative metal,432800,1982
7,Iron Man,Black Sabbath,Paranoid (Deluxe Edition),"{'danceability': 0.334, 'energy': 0.829, 'key': 9, 'loudness': -9.17, 'mode': 1, 'speechiness': 0.0995, 'acousticness': 0.00327, 'instrumentalness': 0.00393, 'liveness': 0.095, 'valence': 0.502, 'tempo': 157.565, 'type': 'audio_features', 'id': '1Rhr64SXn8s4LjnpPAUHon', 'uri': 'spotify:track:1Rhr64SXn8s4LjnpPAUHon', 'track_href': 'https://api.spotify.com/v1/tracks/1Rhr64SXn8s4LjnpPAUHon', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Rhr64SXn8s4LjnpPAUHon', 'duration_ms': 354213, 'time_signature': 4}",70,0,album rock,354213,1970-09-18
8,Master Of Puppets,Metallica,Master Of Puppets,"{'danceability': 0.538, 'energy': 0.872, 'key': 4, 'loudness': -7.658, 'mode': 0, 'speechiness': 0.0361, 'acousticness': 0.000608, 'instrumentalness': 0.573, 'liveness': 0.0946, 'valence': 0.593, 'tempo': 105.102, 'type': 'audio_features', 'id': '6NwbeybX6TDtXlpXvnUOZC', 'uri': 'spotify:track:6NwbeybX6TDtXlpXvnUOZC', 'track_href': 'https://api.spotify.com/v1/tracks/6NwbeybX6TDtXlpXvnUOZC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6NwbeybX6TDtXlpXvnUOZC', 'duration_ms': 516293, 'time_signature': 4}",78,0,hard rock,516293,1986-03-03
9,The Rumbling (Attack on Titan),Ryuven,The Rumbling (Attack on Titan),"{'danceability': 0.5, 'energy': 0.832, 'key': 8, 'loudness': -4.229, 'mode': 1, 'speechiness': 0.0513, 'acousticness': 0.0191, 'instrumentalness': 0.000216, 'liveness': 0.0829, 'valence': 0.593, 'tempo': 145.091, 'type': 'audio_features', 'id': '4m1slXE2kaXbXVfZQ0q3Om', 'uri': 'spotify:track:4m1slXE2kaXbXVfZQ0q3Om', 'track_href': 'https://api.spotify.com/v1/tracks/4m1slXE2kaXbXVfZQ0q3Om', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4m1slXE2kaXbXVfZQ0q3Om', 'duration_ms': 94655, 'time_signature': 4}",31,46,,94655,2022-03-09
