,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Poker Face,Lady Gaga,The Fame,"{'danceability': 0.851, 'energy': 0.806, 'key': 4, 'loudness': -4.618, 'mode': 1, 'speechiness': 0.0787, 'acousticness': 0.119, 'instrumentalness': 1.72e-06, 'liveness': 0.121, 'valence': 0.774, 'tempo': 119.001, 'type': 'audio_features', 'id': '1QV6tiMFM6fSOKOGLMHYYg', 'uri': 'spotify:track:1QV6tiMFM6fSOKOGLMHYYg', 'track_href': 'https://api.spotify.com/v1/tracks/1QV6tiMFM6fSOKOGLMHYYg', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1QV6tiMFM6fSOKOGLMHYYg', 'duration_ms': 237200, 'time_signature': 4}",82,81,art pop,237200,2008-01-01
1,TiK ToK,Kesha,Animal (Expanded Edition),"{'danceability': 0.755, 'energy': 0.837, 'key': 2, 'loudness': -2.718, 'mode': 0, 'speechiness': 0.142, 'acousticness': 0.0991, 'instrumentalness': 0, 'liveness': 0.289, 'valence': 0.714, 'tempo': 120.028, 'type': 'audio_features', 'id': '0HPD5WQqrq7wPWR7P7Dw1i', 'uri': 'spotify:track:0HPD5WQqrq7wPWR7P7Dw1i', 'track_href': 'https://api.spotify.com/v1/tracks/0HPD5WQqrq7wPWR7P7Dw1i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0HPD5WQqrq7wPWR7P7Dw1i', 'duration_ms': 199693, 'time_signature': 4}",76,85,dance pop,199693,2010-01-01
2,Super Bass,Nicki Minaj,Pink Friday (Complete Edition),"{'danceability': 0.723, 'energy': 0.86, 'key': 11, 'loudness': -4.357, 'mode': 1, 'speechiness': 0.203, 'acousticness': 0.271, 'instrumentalness': 4.56e-06, 'liveness': 0.598, 'valence': 0.667, 'tempo': 126.979, 'type': 'audio_features', 'id': '3hlksXnvbKogFdPbpO9vel', 'uri': 'spotify:track:3hlksXnvbKogFdPbpO9vel', 'track_href': 'https://api.spotify.com/v1/tracks/3hlksXnvbKogFdPbpO9vel', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3hlksXnvbKogFdPbpO9vel', 'duration_ms': 200013, 'time_signature': 4}",83,80,hip pop,200013,2010-11-22
3,Last Friday Night (T.G.I.F.),Katy Perry,Teenage Dream,"{'danceability': 0.652, 'energy': 0.81, 'key': 3, 'loudness': -3.789, 'mode': 0, 'speechiness': 0.0406, 'acousticness': 0.00129, 'instrumentalness': 2.91e-05, 'liveness': 0.667, 'valence': 0.732, 'tempo': 126.022, 'type': 'audio_features', 'id': '3avYqdwHKEq8beXbeWCKqJ', 'uri': 'spotify:track:3avYqdwHKEq8beXbeWCKqJ', 'track_href': 'https://api.spotify.com/v1/tracks/3avYqdwHKEq8beXbeWCKqJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3avYqdwHKEq8beXbeWCKqJ', 'duration_ms': 230733, 'time_signature': 4}",81,76,pop,230733,2010-01-01
4,Somebody That I Used To Know,Gotye,Making Mirrors,"{'danceability': 0.864, 'energy': 0.515, 'key': 0, 'loudness': -6.967, 'mode': 1, 'speechiness': 0.0367, 'acousticness': 0.571, 'instrumentalness': 7.92e-05, 'liveness': 0.0947, 'valence': 0.755, 'tempo': 129.048, 'type': 'audio_features', 'id': '1qk9ujVgudgU8CyhKOx8ji', 'uri': 'spotify:track:1qk9ujVgudgU8CyhKOx8ji', 'track_href': 'https://api.spotify.com/v1/tracks/1qk9ujVgudgU8CyhKOx8ji', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1qk9ujVgudgU8CyhKOx8ji', 'duration_ms': 244893, 'time_signature': 4}",68,64,australian pop,244893,2011-01-01
5,Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),"{'danceability': 0.781, 'energy': 0.526, 'key': 6, 'loudness': -6.985, 'mode': 0, 'speechiness': 0.293, 'acousticness': 0.0619, 'instrumentalness': 0, 'liveness': 0.0457, 'valence': 0.662, 'tempo': 94.992, 'type': 'audio_features', 'id': '1CmUZGtH29Kx36C1Hleqlz', 'uri': 'spotify:track:1CmUZGtH29Kx36C1Hleqlz', 'track_href': 'https://api.spotify.com/v1/tracks/1CmUZGtH29Kx36C1Hleqlz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1CmUZGtH29Kx36C1Hleqlz', 'duration_ms': 235613, 'time_signature': 4}",70,66,pop rap,235613,2012-08-01
6,Pump It,Black Eyed Peas,Monkey Business,"{'danceability': 0.648, 'energy': 0.931, 'key': 1, 'loudness': -3.15, 'mode': 0, 'speechiness': 0.181, 'acousticness': 0.00937, 'instrumentalness': 0, 'liveness': 0.752, 'valence': 0.744, 'tempo': 153.649, 'type': 'audio_features', 'id': '2ygMBIctKIAfbEBcT9065L', 'uri': 'spotify:track:2ygMBIctKIAfbEBcT9065L', 'track_href': 'https://api.spotify.com/v1/tracks/2ygMBIctKIAfbEBcT9065L', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2ygMBIctKIAfbEBcT9065L', 'duration_ms': 213067, 'time_signature': 4}",77,78,dance pop,213066,2005-01-01
7,Happy,Pharrell Williams,Despicable Me 2 (Original Motion Picture Soundtrack),"{'danceability': 0.652, 'energy': 0.757, 'key': 1, 'loudness': -6.819, 'mode': 1, 'speechiness': 0.153, 'acousticness': 0.286, 'instrumentalness': 0, 'liveness': 0.0886, 'valence': 0.962, 'tempo': 159.911, 'type': 'audio_features', 'id': '6NPVjNh8Jhru9xOmyQigds', 'uri': 'spotify:track:6NPVjNh8Jhru9xOmyQigds', 'track_href': 'https://api.spotify.com/v1/tracks/6NPVjNh8Jhru9xOmyQigds', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6NPVjNh8Jhru9xOmyQigds', 'duration_ms': 233305, 'time_signature': 4}",76,0,dance pop,233305,2013-06-18
8,Wake Me Up,Avicii,True,"{'danceability': 0.532, 'energy': 0.783, 'key': 2, 'loudness': -5.697, 'mode': 1, 'speechiness': 0.0523, 'acousticness': 0.0038, 'instrumentalness': 0.0012, 'liveness': 0.161, 'valence': 0.643, 'tempo': 124.08, 'type': 'audio_features', 'id': '0nrRP2bk19rLc0orkWPQk2', 'uri': 'spotify:track:0nrRP2bk19rLc0orkWPQk2', 'track_href': 'https://api.spotify.com/v1/tracks/0nrRP2bk19rLc0orkWPQk2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0nrRP2bk19rLc0orkWPQk2', 'duration_ms': 247427, 'time_signature': 4}",78,86,dance pop,247426,2013-01-01
9,Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special,"{'danceability': 0.856, 'energy': 0.609, 'key': 0, 'loudness': -7.223, 'mode': 1, 'speechiness': 0.0824, 'acousticness': 0.00801, 'instrumentalness': 8.15e-05, 'liveness': 0.0344, 'valence': 0.928, 'tempo': 114.988, 'type': 'audio_features', 'id': '32OlwWuMpZ6b0aN2RZOeMS', 'uri': 'spotify:track:32OlwWuMpZ6b0aN2RZOeMS', 'track_href': 'https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS', 'duration_ms': 269667, 'time_signature': 4}",73,84,pop soul,269666,2015-01-12
