,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Attack,Thirty Seconds To Mars,A Beautiful Lie,"{'danceability': 0.333, 'energy': 0.877, 'key': 5, 'loudness': -1.894, 'mode': 0, 'speechiness': 0.0603, 'acousticness': 0.00332, 'instrumentalness': 0.00101, 'liveness': 0.769, 'valence': 0.285, 'tempo': 175.095, 'type': 'audio_features', 'id': '0lHSJ0ZP8uUPnJXhMdGjOK', 'uri': 'spotify:track:0lHSJ0ZP8uUPnJXhMdGjOK', 'track_href': 'https://api.spotify.com/v1/tracks/0lHSJ0ZP8uUPnJXhMdGjOK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0lHSJ0ZP8uUPnJXhMdGjOK', 'duration_ms': 188187, 'time_signature': 4}",67,65,modern rock,188186,2005-01-01
1,In the End,Linkin Park,Hybrid Theory (Bonus Edition),"{'danceability': 0.556, 'energy': 0.864, 'key': 3, 'loudness': -5.87, 'mode': 0, 'speechiness': 0.0584, 'acousticness': 0.00958, 'instrumentalness': 0, 'liveness': 0.209, 'valence': 0.4, 'tempo': 105.143, 'type': 'audio_features', 'id': '60a0Rd6pjrkxjPbaKzXjfq', 'uri': 'spotify:track:60a0Rd6pjrkxjPbaKzXjfq', 'track_href': 'https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/60a0Rd6pjrkxjPbaKzXjfq', 'duration_ms': 216880, 'time_signature': 4}",83,88,alternative metal,216880,2000
2,Going Under,Evanescence,Fallen,"{'danceability': 0.37, 'energy': 0.858, 'key': 11, 'loudness': -4.885, 'mode': 0, 'speechiness': 0.0545, 'acousticness': 0.00815, 'instrumentalness': 2.12e-05, 'liveness': 0.229, 'valence': 0.464, 'tempo': 175.077, 'type': 'audio_features', 'id': '3UygY7qW2cvG9Llkay6i1i', 'uri': 'spotify:track:3UygY7qW2cvG9Llkay6i1i', 'track_href': 'https://api.spotify.com/v1/tracks/3UygY7qW2cvG9Llkay6i1i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3UygY7qW2cvG9Llkay6i1i', 'duration_ms': 214947, 'time_signature': 4}",71,75,alternative metal,214946,2003-03-04
3,Welcome to the Black Parade,My Chemical Romance,The Black Parade,"{'danceability': 0.217, 'energy': 0.905, 'key': 2, 'loudness': -4.103, 'mode': 1, 'speechiness': 0.0752, 'acousticness': 0.000289, 'instrumentalness': 0.00011, 'liveness': 0.222, 'valence': 0.236, 'tempo': 96.95, 'type': 'audio_features', 'id': '5wQnmLuC1W7ATsArWACrgW', 'uri': 'spotify:track:5wQnmLuC1W7ATsArWACrgW', 'track_href': 'https://api.spotify.com/v1/tracks/5wQnmLuC1W7ATsArWACrgW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5wQnmLuC1W7ATsArWACrgW', 'duration_ms': 311107, 'time_signature': 4}",75,77,emo,311106,2006-10-23
4,Chop Suey!,System Of A Down,Toxicity,"{'danceability': 0.417, 'energy': 0.934, 'key': 7, 'loudness': -3.908, 'mode': 0, 'speechiness': 0.119, 'acousticness': 0.000278, 'instrumentalness': 0.0015, 'liveness': 0.132, 'valence': 0.287, 'tempo': 127.066, 'type': 'audio_features', 'id': '2DlHlPMa4M17kufBvI2lEN', 'uri': 'spotify:track:2DlHlPMa4M17kufBvI2lEN', 'track_href': 'https://api.spotify.com/v1/tracks/2DlHlPMa4M17kufBvI2lEN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2DlHlPMa4M17kufBvI2lEN', 'duration_ms': 210240, 'time_signature': 4}",78,85,alternative metal,210240,2001-09-04
5,Alive - 2006 Remaster,P.O.D.,Greatest Hits (The Atlantic Years),"{'danceability': 0.409, 'energy': 0.952, 'key': 2, 'loudness': -3.761, 'mode': 0, 'speechiness': 0.0756, 'acousticness': 1.23e-05, 'instrumentalness': 0.000156, 'liveness': 0.31, 'valence': 0.55, 'tempo': 80.899, 'type': 'audio_features', 'id': '3IRovqSVYx3CNtDWRebsET', 'uri': 'spotify:track:3IRovqSVYx3CNtDWRebsET', 'track_href': 'https://api.spotify.com/v1/tracks/3IRovqSVYx3CNtDWRebsET', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3IRovqSVYx3CNtDWRebsET', 'duration_ms': 203693, 'time_signature': 4}",60,54,alternative metal,203693,2006-10-27
6,Last Resort,Papa Roach,Infest,"{'danceability': 0.589, 'energy': 0.89, 'key': 4, 'loudness': -3.719, 'mode': 0, 'speechiness': 0.06, 'acousticness': 0.000481, 'instrumentalness': 0.00082, 'liveness': 0.201, 'valence': 0.687, 'tempo': 90.586, 'type': 'audio_features', 'id': '5W8YXBz9MTIDyrpYaCg2Ky', 'uri': 'spotify:track:5W8YXBz9MTIDyrpYaCg2Ky', 'track_href': 'https://api.spotify.com/v1/tracks/5W8YXBz9MTIDyrpYaCg2Ky', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5W8YXBz9MTIDyrpYaCg2Ky', 'duration_ms': 199907, 'time_signature': 4}",70,81,alternative metal,199906,2001-04-25
7,We Are Young (feat. Janelle Monáe),fun.,Some Nights,"{'danceability': 0.378, 'energy': 0.638, 'key': 10, 'loudness': -5.576, 'mode': 1, 'speechiness': 0.075, 'acousticness': 0.02, 'instrumentalness': 7.66e-05, 'liveness': 0.0849, 'valence': 0.735, 'tempo': 184.086, 'type': 'audio_features', 'id': '7a86XRg84qjasly9f6bPSD', 'uri': 'spotify:track:7a86XRg84qjasly9f6bPSD', 'track_href': 'https://api.spotify.com/v1/tracks/7a86XRg84qjasly9f6bPSD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7a86XRg84qjasly9f6bPSD', 'duration_ms': 250627, 'time_signature': 4}",64,74,baroque pop,250626,2012-02-21
8,Closer To The Edge,Thirty Seconds To Mars,This Is War,"{'danceability': 0.502, 'energy': 0.948, 'key': 6, 'loudness': -3.717, 'mode': 1, 'speechiness': 0.12, 'acousticness': 0.0101, 'instrumentalness': 4.49e-06, 'liveness': 0.0809, 'valence': 0.102, 'tempo': 139.979, 'type': 'audio_features', 'id': '0UZwcRQAk4QR09HtGRZhYC', 'uri': 'spotify:track:0UZwcRQAk4QR09HtGRZhYC', 'track_href': 'https://api.spotify.com/v1/tracks/0UZwcRQAk4QR09HtGRZhYC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0UZwcRQAk4QR09HtGRZhYC', 'duration_ms': 273467, 'time_signature': 4}",67,62,modern rock,273466,2009-01-01
9,American Idiot,Green Day,American Idiot,"{'danceability': 0.38, 'energy': 0.988, 'key': 1, 'loudness': -2.042, 'mode': 1, 'speechiness': 0.0639, 'acousticness': 2.64e-05, 'instrumentalness': 7.86e-05, 'liveness': 0.368, 'valence': 0.769, 'tempo': 186.113, 'type': 'audio_features', 'id': '6nTiIhLmQ3FWhvrGafw2zj', 'uri': 'spotify:track:6nTiIhLmQ3FWhvrGafw2zj', 'track_href': 'https://api.spotify.com/v1/tracks/6nTiIhLmQ3FWhvrGafw2zj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6nTiIhLmQ3FWhvrGafw2zj', 'duration_ms': 176346, 'time_signature': 4}",78,80,modern rock,176346,2004-09-21
