,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Pedro,Jaxomy,Pedro,"{'danceability': 0.788, 'energy': 0.936, 'key': 9, 'loudness': -6.294, 'mode': 1, 'speechiness': 0.301, 'acousticness': 0.0229, 'instrumentalness': 1.3e-06, 'liveness': 0.311, 'valence': 0.844, 'tempo': 151.019, 'type': 'audio_features', 'id': '48lxT5qJF0yYyf2z4wB4xW', 'uri': 'spotify:track:48lxT5qJF0yYyf2z4wB4xW', 'track_href': 'https://api.spotify.com/v1/tracks/48lxT5qJF0yYyf2z4wB4xW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/48lxT5qJF0yYyf2z4wB4xW', 'duration_ms': 144846, 'time_signature': 4}",70,91,,144846,2024-03-29
1,Prada,cassö,Prada,"{'danceability': 0.638, 'energy': 0.717, 'key': 8, 'loudness': -5.804, 'mode': 1, 'speechiness': 0.0375, 'acousticness': 0.001, 'instrumentalness': 1.79e-06, 'liveness': 0.113, 'valence': 0.422, 'tempo': 141.904, 'type': 'audio_features', 'id': '59NraMJsLaMCVtwXTSia8i', 'uri': 'spotify:track:59NraMJsLaMCVtwXTSia8i', 'track_href': 'https://api.spotify.com/v1/tracks/59NraMJsLaMCVtwXTSia8i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/59NraMJsLaMCVtwXTSia8i', 'duration_ms': 132359, 'time_signature': 4}",70,89,hypertechno,132359,2023-08-11
2,I'm Good (Blue),David Guetta,I'm Good (Blue),"{'danceability': 0.561, 'energy': 0.965, 'key': 7, 'loudness': -3.673, 'mode': 0, 'speechiness': 0.0343, 'acousticness': 0.00383, 'instrumentalness': 7.07e-06, 'liveness': 0.371, 'valence': 0.304, 'tempo': 128.04, 'type': 'audio_features', 'id': '4uUG5RXrOk84mYEfFvj3cK', 'uri': 'spotify:track:4uUG5RXrOk84mYEfFvj3cK', 'track_href': 'https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK', 'duration_ms': 175238, 'time_signature': 4}",85,89,big room,175238,2022-08-26
3,Perfect (Exceeder),David Guetta,Perfect (Exceeder),"{'danceability': 0.678, 'energy': 0.952, 'key': 4, 'loudness': -5.584, 'mode': 0, 'speechiness': 0.0484, 'acousticness': 0.0524, 'instrumentalness': 0.81, 'liveness': 0.0872, 'valence': 0.0649, 'tempo': 127.927, 'type': 'audio_features', 'id': '7jY6W92bLfnXnevTa7JKHi', 'uri': 'spotify:track:7jY6W92bLfnXnevTa7JKHi', 'track_href': 'https://api.spotify.com/v1/tracks/7jY6W92bLfnXnevTa7JKHi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7jY6W92bLfnXnevTa7JKHi', 'duration_ms': 151930, 'time_signature': 4}",85,74,big room,151929,2024-02-09
4,Whatever,Kygo,Whatever,"{'danceability': 0.58, 'energy': 0.777, 'key': 3, 'loudness': -5.69, 'mode': 1, 'speechiness': 0.0655, 'acousticness': 0.104, 'instrumentalness': 0, 'liveness': 0.342, 'valence': 0.589, 'tempo': 108.005, 'type': 'audio_features', 'id': '0LMwmV37RCmBO2so0szAFs', 'uri': 'spotify:track:0LMwmV37RCmBO2so0szAFs', 'track_href': 'https://api.spotify.com/v1/tracks/0LMwmV37RCmBO2so0szAFs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0LMwmV37RCmBO2so0szAFs', 'duration_ms': 178273, 'time_signature': 4}",77,89,edm,178273,2024-01-19
5,Makeba - Ian Asher Remix,Jain,Makeba (Ian Asher Remix),"{'danceability': 0.651, 'energy': 0.937, 'key': 7, 'loudness': -4.078, 'mode': 1, 'speechiness': 0.0468, 'acousticness': 0.236, 'instrumentalness': 0.0975, 'liveness': 0.119, 'valence': 0.666, 'tempo': 123.993, 'type': 'audio_features', 'id': '67eYAnkdTu8BMcIx29z26L', 'uri': 'spotify:track:67eYAnkdTu8BMcIx29z26L', 'track_href': 'https://api.spotify.com/v1/tracks/67eYAnkdTu8BMcIx29z26L', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/67eYAnkdTu8BMcIx29z26L', 'duration_ms': 125179, 'time_signature': 4}",61,74,french pop,125178,2023-01-13
6,Vois sur ton chemin - Techno Mix,BENNETT,Vois sur ton chemin (Techno Mix),"{'danceability': 0.634, 'energy': 0.824, 'key': 2, 'loudness': -3.394, 'mode': 0, 'speechiness': 0.047, 'acousticness': 0.0908, 'instrumentalness': 0.0711, 'liveness': 0.119, 'valence': 0.371, 'tempo': 137.959, 'type': 'audio_features', 'id': '31nfdEooLEq7dn3UMcIeB5', 'uri': 'spotify:track:31nfdEooLEq7dn3UMcIeB5', 'track_href': 'https://api.spotify.com/v1/tracks/31nfdEooLEq7dn3UMcIeB5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/31nfdEooLEq7dn3UMcIeB5', 'duration_ms': 178156, 'time_signature': 4}",69,86,hypertechno,178156,2023-08-04
7,Belly Dancer,Imanbek,Belly Dancer,"{'danceability': 0.845, 'energy': 0.797, 'key': 1, 'loudness': -4.984, 'mode': 1, 'speechiness': 0.139, 'acousticness': 0.0582, 'instrumentalness': 5.57e-06, 'liveness': 0.167, 'valence': 0.422, 'tempo': 121.985, 'type': 'audio_features', 'id': '7fZBQnc0zXwVybgCIrQQil', 'uri': 'spotify:track:7fZBQnc0zXwVybgCIrQQil', 'track_href': 'https://api.spotify.com/v1/tracks/7fZBQnc0zXwVybgCIrQQil', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7fZBQnc0zXwVybgCIrQQil', 'duration_ms': 151475, 'time_signature': 4}",68,81,electro house,151475,2022-02-18
8,Give It To Me - Full Vocal Mix,Matt Sassari,Give It To Me (Full Vocal Mix),"{'danceability': 0.874, 'energy': 0.869, 'key': 1, 'loudness': -5.996, 'mode': 0, 'speechiness': 0.0315, 'acousticness': 0.00116, 'instrumentalness': 0.00238, 'liveness': 0.164, 'valence': 0.726, 'tempo': 126.027, 'type': 'audio_features', 'id': '5ZduaRci3iNUiDfJbBfAaf', 'uri': 'spotify:track:5ZduaRci3iNUiDfJbBfAaf', 'track_href': 'https://api.spotify.com/v1/tracks/5ZduaRci3iNUiDfJbBfAaf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ZduaRci3iNUiDfJbBfAaf', 'duration_ms': 102861, 'time_signature': 4}",64,84,french tech house,102860,2021-10-22
9,Thank You (Not So Bad),Dimitri Vegas & Like Mike,Thank You (Not So Bad),"{'danceability': 0.673, 'energy': 0.95, 'key': 11, 'loudness': -5.149, 'mode': 1, 'speechiness': 0.0488, 'acousticness': 0.0229, 'instrumentalness': 0.0823, 'liveness': 0.398, 'valence': 0.563, 'tempo': 150.019, 'type': 'audio_features', 'id': '09CnYHiZ5jGT1wr1TXJ9Zt', 'uri': 'spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt', 'track_href': 'https://api.spotify.com/v1/tracks/09CnYHiZ5jGT1wr1TXJ9Zt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/09CnYHiZ5jGT1wr1TXJ9Zt', 'duration_ms': 140000, 'time_signature': 4}",71,87,belgian dance,140000,2023-12-01
10,(It Goes Like) Nanana - Edit,Peggy Gou,(It Goes Like) Nanana [Edit],"{'danceability': 0.671, 'energy': 0.876, 'key': 7, 'loudness': -5.681, 'mode': 0, 'speechiness': 0.0352, 'acousticness': 0.12, 'instrumentalness': 0.188, 'liveness': 0.0823, 'valence': 0.964, 'tempo': 129.998, 'type': 'audio_features', 'id': '23RoR84KodL5HWvUTneQ1w', 'uri': 'spotify:track:23RoR84KodL5HWvUTneQ1w', 'track_href': 'https://api.spotify.com/v1/tracks/23RoR84KodL5HWvUTneQ1w', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/23RoR84KodL5HWvUTneQ1w', 'duration_ms': 231545, 'time_signature': 4}",66,84,electra,231545,2023-06-15
11,"PATT (Party All The Time) - Adam Beyer, Layton Giordani & Green Velvet Remix",Sharam,"PATT (Party All The Time) [Adam Beyer, Layton Giordani & Green Velvet Remix]","{'danceability': 0.645, 'energy': 0.847, 'key': 11, 'loudness': -4.169, 'mode': 1, 'speechiness': 0.0334, 'acousticness': 0.000566, 'instrumentalness': 0.00619, 'liveness': 0.105, 'valence': 0.34, 'tempo': 133.062, 'type': 'audio_features', 'id': '6DFHSmlrZLDZnXV5kTTMF6', 'uri': 'spotify:track:6DFHSmlrZLDZnXV5kTTMF6', 'track_href': 'https://api.spotify.com/v1/tracks/6DFHSmlrZLDZnXV5kTTMF6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6DFHSmlrZLDZnXV5kTTMF6', 'duration_ms': 183158, 'time_signature': 4}",47,65,tribal house,183157,2024-04-05
