,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,T.N.T.,AC/DC,High Voltage,"{'danceability': 0.754, 'energy': 0.759, 'key': 9, 'loudness': -5.218, 'mode': 1, 'speechiness': 0.302, 'acousticness': 0.153, 'instrumentalness': 0.000108, 'liveness': 0.101, 'valence': 0.435, 'tempo': 126.366, 'type': 'audio_features', 'id': '7LRMbd3LEoV5wZJvXT1Lwb', 'uri': 'spotify:track:7LRMbd3LEoV5wZJvXT1Lwb', 'track_href': 'https://api.spotify.com/v1/tracks/7LRMbd3LEoV5wZJvXT1Lwb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7LRMbd3LEoV5wZJvXT1Lwb', 'duration_ms': 214667, 'time_signature': 4}",79,80,australian rock,214666,1976-05-14
1,Rock And Roll All Nite,KISS,1975 - Best of,"{'danceability': 0.54, 'energy': 0.926, 'key': 1, 'loudness': -6.205, 'mode': 1, 'speechiness': 0.162, 'acousticness': 0.0191, 'instrumentalness': 0, 'liveness': 0.651, 'valence': 0.686, 'tempo': 144.8, 'type': 'audio_features', 'id': '0R3RKiLyccsEv8oMYQIxyt', 'uri': 'spotify:track:0R3RKiLyccsEv8oMYQIxyt', 'track_href': 'https://api.spotify.com/v1/tracks/0R3RKiLyccsEv8oMYQIxyt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0R3RKiLyccsEv8oMYQIxyt', 'duration_ms': 175853, 'time_signature': 4}",68,30,glam rock,175853,2023-04-20
2,Fat Bottomed Girls - Remastered 2011,Queen,Greatest Hits (Remastered),"{'danceability': 0.421, 'energy': 0.671, 'key': 2, 'loudness': -7.666, 'mode': 1, 'speechiness': 0.0482, 'acousticness': 0.0581, 'instrumentalness': 0, 'liveness': 0.361, 'valence': 0.557, 'tempo': 88.176, 'type': 'audio_features', 'id': '0CQddjWDflPd0dOqqVkJ2H', 'uri': 'spotify:track:0CQddjWDflPd0dOqqVkJ2H', 'track_href': 'https://api.spotify.com/v1/tracks/0CQddjWDflPd0dOqqVkJ2H', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0CQddjWDflPd0dOqqVkJ2H', 'duration_ms': 202440, 'time_signature': 4}",81,49,classic rock,202440,1981-10-26
3,Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,"{'danceability': 0.454, 'energy': 0.987, 'key': 8, 'loudness': -4.485, 'mode': 1, 'speechiness': 0.0881, 'acousticness': 0.0195, 'instrumentalness': 0.279, 'liveness': 0.268, 'valence': 0.316, 'tempo': 123.61, 'type': 'audio_features', 'id': '0G21yYKMZoHa30cYVi1iA8', 'uri': 'spotify:track:0G21yYKMZoHa30cYVi1iA8', 'track_href': 'https://api.spotify.com/v1/tracks/0G21yYKMZoHa30cYVi1iA8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0G21yYKMZoHa30cYVi1iA8', 'duration_ms': 273480, 'time_signature': 4}",76,82,glam metal,273480,1987-07-21
4,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Pop Blockbusters 8,"{'danceability': 0.732, 'energy': 0.83, 'key': 9, 'loudness': -8.552, 'mode': 1, 'speechiness': 0.0527, 'acousticness': 0.000352, 'instrumentalness': 0.123, 'liveness': 0.227, 'valence': 0.858, 'tempo': 135.544, 'type': 'audio_features', 'id': '7N0VzEJUvomizE1tg7LUB8', 'uri': 'spotify:track:7N0VzEJUvomizE1tg7LUB8', 'track_href': 'https://api.spotify.com/v1/tracks/7N0VzEJUvomizE1tg7LUB8', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7N0VzEJUvomizE1tg7LUB8', 'duration_ms': 222987, 'time_signature': 4}",76,29,album rock,222986,2023-03-07
5,Another One Bites The Dust,Queen,Bohemian Rhapsody (The Original Soundtrack),"{'danceability': 0.929, 'energy': 0.526, 'key': 5, 'loudness': -6.486, 'mode': 0, 'speechiness': 0.161, 'acousticness': 0.0969, 'instrumentalness': 0.263, 'liveness': 0.153, 'valence': 0.753, 'tempo': 109.96, 'type': 'audio_features', 'id': '2k1yPYf9WGA4LiqcLVwtzn', 'uri': 'spotify:track:2k1yPYf9WGA4LiqcLVwtzn', 'track_href': 'https://api.spotify.com/v1/tracks/2k1yPYf9WGA4LiqcLVwtzn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2k1yPYf9WGA4LiqcLVwtzn', 'duration_ms': 214640, 'time_signature': 4}",81,61,classic rock,214640,2018-10-19
6,Detroit Rock City,KISS,"Smashes, Thrashes And Hits","{'danceability': 0.486, 'energy': 0.847, 'key': 8, 'loudness': -10.982, 'mode': 1, 'speechiness': 0.0965, 'acousticness': 0.00964, 'instrumentalness': 0.000283, 'liveness': 0.15, 'valence': 0.337, 'tempo': 90.421, 'type': 'audio_features', 'id': '3IjrDeaVRFEi3GgHI5xyjX', 'uri': 'spotify:track:3IjrDeaVRFEi3GgHI5xyjX', 'track_href': 'https://api.spotify.com/v1/tracks/3IjrDeaVRFEi3GgHI5xyjX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3IjrDeaVRFEi3GgHI5xyjX', 'duration_ms': 227467, 'time_signature': 4}",68,50,glam rock,227466,1988-11-15
7,Under Pressure,Queen,Bohemian Rhapsody (The Original Soundtrack),"{'danceability': 0.671, 'energy': 0.698, 'key': 2, 'loudness': -7.831, 'mode': 1, 'speechiness': 0.0466, 'acousticness': 0.395, 'instrumentalness': 0, 'liveness': 0.094, 'valence': 0.464, 'tempo': 113.732, 'type': 'audio_features', 'id': '6suU8oBlW4O2pg88tOXgHo', 'uri': 'spotify:track:6suU8oBlW4O2pg88tOXgHo', 'track_href': 'https://api.spotify.com/v1/tracks/6suU8oBlW4O2pg88tOXgHo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6suU8oBlW4O2pg88tOXgHo', 'duration_ms': 244485, 'time_signature': 4}",81,61,classic rock,244484,2018-10-19
8,Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,"{'danceability': 0.445, 'energy': 0.952, 'key': 6, 'loudness': -5.321, 'mode': 1, 'speechiness': 0.0522, 'acousticness': 0.09, 'instrumentalness': 0.0843, 'liveness': 0.112, 'valence': 0.624, 'tempo': 125.304, 'type': 'audio_features', 'id': '7snQQk1zcKl8gZ92AnueZW', 'uri': 'spotify:track:7snQQk1zcKl8gZ92AnueZW', 'track_href': 'https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7snQQk1zcKl8gZ92AnueZW', 'duration_ms': 356067, 'time_signature': 4}",76,86,glam metal,356066,1987-07-21
9,Fast Car,Gutter Grinders,Laneside Jams,"{'danceability': 0.827, 'energy': 0.336, 'key': 9, 'loudness': -11.86, 'mode': 1, 'speechiness': 0.0312, 'acousticness': 0.594, 'instrumentalness': 0, 'liveness': 0.126, 'valence': 0.554, 'tempo': 100.002, 'type': 'audio_features', 'id': '3xWWnr7Etuzek7uhAhoSuk', 'uri': 'spotify:track:3xWWnr7Etuzek7uhAhoSuk', 'track_href': 'https://api.spotify.com/v1/tracks/3xWWnr7Etuzek7uhAhoSuk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3xWWnr7Etuzek7uhAhoSuk', 'duration_ms': 152318, 'time_signature': 4}",47,57,,152318,2023-08-14
