,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Adieux,Ludovico Einaudi,Adieux,"{'danceability': 0.225, 'energy': 0.00407, 'key': 3, 'loudness': -37.107, 'mode': 1, 'speechiness': 0.0464, 'acousticness': 0.987, 'instrumentalness': 0.936, 'liveness': 0.112, 'valence': 0.32, 'tempo': 73.595, 'type': 'audio_features', 'id': '1ymzdmQYjO3ThdlToYZnTq', 'uri': 'spotify:track:1ymzdmQYjO3ThdlToYZnTq', 'track_href': 'https://api.spotify.com/v1/tracks/1ymzdmQYjO3ThdlToYZnTq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1ymzdmQYjO3ThdlToYZnTq', 'duration_ms': 175493, 'time_signature': 4}",75,72,compositional ambient,175492,2024-01-05
1,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,"Bach: Cello Suites Nos. 1, 5 & 6","{'danceability': 0.275, 'energy': 0.157, 'key': 7, 'loudness': -18.752, 'mode': 1, 'speechiness': 0.0636, 'acousticness': 0.89, 'instrumentalness': 0.842, 'liveness': 0.186, 'valence': 0.304, 'tempo': 73.289, 'type': 'audio_features', 'id': '17i5jLpzndlQhbS4SrTd0B', 'uri': 'spotify:track:17i5jLpzndlQhbS4SrTd0B', 'track_href': 'https://api.spotify.com/v1/tracks/17i5jLpzndlQhbS4SrTd0B', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/17i5jLpzndlQhbS4SrTd0B', 'duration_ms': 152280, 'time_signature': 4}",74,70,baroque,152280,1983
2,Communion,Stephan Moccio,Communion,"{'danceability': 0.321, 'energy': 0.00912, 'key': 10, 'loudness': -33.262, 'mode': 0, 'speechiness': 0.0381, 'acousticness': 0.992, 'instrumentalness': 0.917, 'liveness': 0.1, 'valence': 0.196, 'tempo': 127.523, 'type': 'audio_features', 'id': '2wzELGqAgBigmgI0VdkRnx', 'uri': 'spotify:track:2wzELGqAgBigmgI0VdkRnx', 'track_href': 'https://api.spotify.com/v1/tracks/2wzELGqAgBigmgI0VdkRnx', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2wzELGqAgBigmgI0VdkRnx', 'duration_ms': 255400, 'time_signature': 3}",56,68,background piano,255400,2024-03-15
3,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)",Antonio Vivaldi,"Vivaldi Variation (Arr. for Piano from Concerto for Strings in G Minor, RV 156)","{'danceability': 0.429, 'energy': 0.258, 'key': 7, 'loudness': -16.967, 'mode': 0, 'speechiness': 0.0549, 'acousticness': 0.957, 'instrumentalness': 0.893, 'liveness': 0.115, 'valence': 0.0972, 'tempo': 78.809, 'type': 'audio_features', 'id': '3Dgmyz32dxvtxvUTPS0CUI', 'uri': 'spotify:track:3Dgmyz32dxvtxvUTPS0CUI', 'track_href': 'https://api.spotify.com/v1/tracks/3Dgmyz32dxvtxvUTPS0CUI', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Dgmyz32dxvtxvUTPS0CUI', 'duration_ms': 112353, 'time_signature': 1}",68,68,baroque,112352,2018-10-26
4,The Theory of Everything,Jóhann Jóhannsson,The Theory of Everything (Original Motion Picture Soundtrack),"{'danceability': 0.421, 'energy': 0.118, 'key': 2, 'loudness': -17.703, 'mode': 1, 'speechiness': 0.0408, 'acousticness': 0.842, 'instrumentalness': 0.938, 'liveness': 0.115, 'valence': 0.175, 'tempo': 104.03, 'type': 'audio_features', 'id': '5fJD7wh9yoSTpl9d5rgl7l', 'uri': 'spotify:track:5fJD7wh9yoSTpl9d5rgl7l', 'track_href': 'https://api.spotify.com/v1/tracks/5fJD7wh9yoSTpl9d5rgl7l', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5fJD7wh9yoSTpl9d5rgl7l', 'duration_ms': 68692, 'time_signature': 4}",62,67,compositional ambient,68691,2014-11-04
5,The Flower Garden,Joe Hisaishi,Howl's Moving Castle Soundtrack,"{'danceability': 0.0999, 'energy': 0.181, 'key': 0, 'loudness': -17.599, 'mode': 0, 'speechiness': 0.0424, 'acousticness': 0.94, 'instrumentalness': 0.888, 'liveness': 0.105, 'valence': 0.0922, 'tempo': 71.277, 'type': 'audio_features', 'id': '6IZF8hi9J6EtFDLQqOlSbu', 'uri': 'spotify:track:6IZF8hi9J6EtFDLQqOlSbu', 'track_href': 'https://api.spotify.com/v1/tracks/6IZF8hi9J6EtFDLQqOlSbu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6IZF8hi9J6EtFDLQqOlSbu', 'duration_ms': 178507, 'time_signature': 4}",67,66,anime,178506,2004-11-19
6,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",Frédéric Chopin,Chopin: Nocturnes,"{'danceability': 0.44, 'energy': 0.00925, 'key': 3, 'loudness': -32.452, 'mode': 1, 'speechiness': 0.0468, 'acousticness': 0.984, 'instrumentalness': 0.936, 'liveness': 0.0873, 'valence': 0.0908, 'tempo': 129.129, 'type': 'audio_features', 'id': '1VNvsvEsUpuUCbHpVop1vo', 'uri': 'spotify:track:1VNvsvEsUpuUCbHpVop1vo', 'track_href': 'https://api.spotify.com/v1/tracks/1VNvsvEsUpuUCbHpVop1vo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1VNvsvEsUpuUCbHpVop1vo', 'duration_ms': 273667, 'time_signature': 4}",70,65,classical,273666,1982-01-01
7,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",Ludwig van Beethoven,"Für Elise, Bagatelle No. 25 in A Minor, WoO 59","{'danceability': 0.289, 'energy': 0.0306, 'key': 9, 'loudness': -30.79, 'mode': 0, 'speechiness': 0.0446, 'acousticness': 0.987, 'instrumentalness': 0.911, 'liveness': 0.102, 'valence': 0.118, 'tempo': 125.61, 'type': 'audio_features', 'id': '3zLTPuucd3e6TxZnu2dlVS', 'uri': 'spotify:track:3zLTPuucd3e6TxZnu2dlVS', 'track_href': 'https://api.spotify.com/v1/tracks/3zLTPuucd3e6TxZnu2dlVS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3zLTPuucd3e6TxZnu2dlVS', 'duration_ms': 212067, 'time_signature': 3}",69,65,classical,212066,2015
8,"16 Waltzes, Op. 39: No. 15 In A Flat Major",Johannes Brahms,"Hungarian Dances / Waltzes, Op. 39","{'danceability': 0.387, 'energy': 0.00906, 'key': 8, 'loudness': -34.559, 'mode': 1, 'speechiness': 0.0455, 'acousticness': 0.996, 'instrumentalness': 0.889, 'liveness': 0.0985, 'valence': 0.133, 'tempo': 67.855, 'type': 'audio_features', 'id': '7ouW02587AzIaGnK0gh8St', 'uri': 'spotify:track:7ouW02587AzIaGnK0gh8St', 'track_href': 'https://api.spotify.com/v1/tracks/7ouW02587AzIaGnK0gh8St', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7ouW02587AzIaGnK0gh8St', 'duration_ms': 94333, 'time_signature': 3}",64,64,classical,94333,1994-06-07
9,saman,Ólafur Arnalds,re:member,"{'danceability': 0.583, 'energy': 0.0238, 'key': 0, 'loudness': -32.244, 'mode': 0, 'speechiness': 0.0369, 'acousticness': 0.994, 'instrumentalness': 0.847, 'liveness': 0.103, 'valence': 0.426, 'tempo': 108.74, 'type': 'audio_features', 'id': '5RqKo9P4DLA0bVyY70cWkr', 'uri': 'spotify:track:5RqKo9P4DLA0bVyY70cWkr', 'track_href': 'https://api.spotify.com/v1/tracks/5RqKo9P4DLA0bVyY70cWkr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5RqKo9P4DLA0bVyY70cWkr', 'duration_ms': 131923, 'time_signature': 4}",60,64,compositional ambient,131923,2018-08-24
