,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Jailhouse Rock,Elvis Presley,Elvis' Golden Records,"{'danceability': 0.647, 'energy': 0.582, 'key': 10, 'loudness': -9.538, 'mode': 0, 'speechiness': 0.0755, 'acousticness': 0.41, 'instrumentalness': 1.93e-06, 'liveness': 0.0715, 'valence': 0.915, 'tempo': 167.396, 'type': 'audio_features', 'id': '4gphxUgq0JSFv2BCLhNDiE', 'uri': 'spotify:track:4gphxUgq0JSFv2BCLhNDiE', 'track_href': 'https://api.spotify.com/v1/tracks/4gphxUgq0JSFv2BCLhNDiE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4gphxUgq0JSFv2BCLhNDiE', 'duration_ms': 146480, 'time_signature': 4}",75,67,rock-and-roll,146480,1958-03-21
1,Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),"{'danceability': 0.579, 'energy': 0.508, 'key': 2, 'loudness': -9.484, 'mode': 1, 'speechiness': 0.027, 'acousticness': 0.00574, 'instrumentalness': 0.000494, 'liveness': 0.0575, 'valence': 0.609, 'tempo': 147.125, 'type': 'audio_features', 'id': '40riOy7x9W7GXjyGp4pjAv', 'uri': 'spotify:track:40riOy7x9W7GXjyGp4pjAv', 'track_href': 'https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv', 'duration_ms': 391376, 'time_signature': 4}",73,84,album rock,391376,1976-12-08
2,Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,"{'danceability': 0.92, 'energy': 0.654, 'key': 11, 'loudness': -3.051, 'mode': 0, 'speechiness': 0.0401, 'acousticness': 0.0236, 'instrumentalness': 0.0153, 'liveness': 0.036, 'valence': 0.847, 'tempo': 117.046, 'type': 'audio_features', 'id': '5ChkMS8OtdzJeqyybCc9R5', 'uri': 'spotify:track:5ChkMS8OtdzJeqyybCc9R5', 'track_href': 'https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5', 'duration_ms': 293827, 'time_signature': 4}",80,79,r&b,293826,2008-02-08
3,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),"{'danceability': 0.411, 'energy': 0.404, 'key': 0, 'loudness': -9.928, 'mode': 0, 'speechiness': 0.0511, 'acousticness': 0.271, 'instrumentalness': 0, 'liveness': 0.3, 'valence': 0.226, 'tempo': 71.068, 'type': 'audio_features', 'id': '4u7EnebtmKWzUH433cf5Qv', 'uri': 'spotify:track:4u7EnebtmKWzUH433cf5Qv', 'track_href': 'https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv', 'duration_ms': 354320, 'time_signature': 4}",82,80,classic rock,354320,1975-11-21
4,Let It Be - Remastered 2009,The Beatles,Let It Be (Remastered),"{'danceability': 0.443, 'energy': 0.403, 'key': 0, 'loudness': -8.339, 'mode': 1, 'speechiness': 0.0322, 'acousticness': 0.631, 'instrumentalness': 0, 'liveness': 0.111, 'valence': 0.41, 'tempo': 143.462, 'type': 'audio_features', 'id': '7iN1s7xHE4ifF5povM6A48', 'uri': 'spotify:track:7iN1s7xHE4ifF5povM6A48', 'track_href': 'https://api.spotify.com/v1/tracks/7iN1s7xHE4ifF5povM6A48', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7iN1s7xHE4ifF5povM6A48', 'duration_ms': 243027, 'time_signature': 4}",82,78,british invasion,243026,1970-05-08
5,(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,"{'danceability': 0.723, 'energy': 0.863, 'key': 2, 'loudness': -7.89, 'mode': 1, 'speechiness': 0.0338, 'acousticness': 0.0383, 'instrumentalness': 0.0317, 'liveness': 0.128, 'valence': 0.931, 'tempo': 136.302, 'type': 'audio_features', 'id': '2PzU4IB8Dr6mxV3lHuaG34', 'uri': 'spotify:track:2PzU4IB8Dr6mxV3lHuaG34', 'track_href': 'https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34', 'duration_ms': 222813, 'time_signature': 4}",77,78,album rock,222813,1965-07-30
6,Africa,TOTO,Toto IV,"{'danceability': 0.671, 'energy': 0.373, 'key': 9, 'loudness': -18.064, 'mode': 1, 'speechiness': 0.0323, 'acousticness': 0.257, 'instrumentalness': 8.01e-05, 'liveness': 0.0481, 'valence': 0.732, 'tempo': 92.718, 'type': 'audio_features', 'id': '2374M0fQpWi3dLnB54qaLX', 'uri': 'spotify:track:2374M0fQpWi3dLnB54qaLX', 'track_href': 'https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2374M0fQpWi3dLnB54qaLX', 'duration_ms': 295893, 'time_signature': 4}",72,86,album rock,295893,1982-04-08
7,More Than a Feeling,Boston,Boston,"{'danceability': 0.377, 'energy': 0.681, 'key': 7, 'loudness': -8.039, 'mode': 1, 'speechiness': 0.0298, 'acousticness': 0.00088, 'instrumentalness': 0.0023, 'liveness': 0.0504, 'valence': 0.285, 'tempo': 108.789, 'type': 'audio_features', 'id': '1QEEqeFIZktqIpPI4jSVSF', 'uri': 'spotify:track:1QEEqeFIZktqIpPI4jSVSF', 'track_href': 'https://api.spotify.com/v1/tracks/1QEEqeFIZktqIpPI4jSVSF', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1QEEqeFIZktqIpPI4jSVSF', 'duration_ms': 285133, 'time_signature': 4}",63,80,album rock,285133,1976
8,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,Greatest,"{'danceability': 0.703, 'energy': 0.827, 'key': 10, 'loudness': -7.179, 'mode': 0, 'speechiness': 0.0343, 'acousticness': 0.032, 'instrumentalness': 0.00636, 'liveness': 0.179, 'valence': 0.944, 'tempo': 103.564, 'type': 'audio_features', 'id': '3mRM4NM8iO7UBqrSigCQFH', 'uri': 'spotify:track:3mRM4NM8iO7UBqrSigCQFH', 'track_href': 'https://api.spotify.com/v1/tracks/3mRM4NM8iO7UBqrSigCQFH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3mRM4NM8iO7UBqrSigCQFH', 'duration_ms': 285373, 'time_signature': 4}",75,77,disco,285373,1979-01-01
9,Smells Like Teen Spirit,Nirvana,Nevermind (Deluxe Edition),"{'danceability': 0.502, 'energy': 0.912, 'key': 1, 'loudness': -4.556, 'mode': 1, 'speechiness': 0.0564, 'acousticness': 2.55e-05, 'instrumentalness': 0.000173, 'liveness': 0.106, 'valence': 0.72, 'tempo': 116.761, 'type': 'audio_features', 'id': '1f3yAtsJtY87CTmM8RLnxf', 'uri': 'spotify:track:1f3yAtsJtY87CTmM8RLnxf', 'track_href': 'https://api.spotify.com/v1/tracks/1f3yAtsJtY87CTmM8RLnxf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1f3yAtsJtY87CTmM8RLnxf', 'duration_ms': 301920, 'time_signature': 4}",79,4,grunge,301920,1991-09-26
