,track,artist,album,other,artist pop,track pop,track genre,duration,release date
0,Desperado,Rihanna,ANTI (Deluxe),"{'danceability': 0.68, 'energy': 0.609, 'key': 0, 'loudness': -5.222, 'mode': 0, 'speechiness': 0.044, 'acousticness': 0.323, 'instrumentalness': 0, 'liveness': 0.102, 'valence': 0.325, 'tempo': 94.35, 'type': 'audio_features', 'id': '4mCf3vQf7z0Yseo0RxAi3V', 'uri': 'spotify:track:4mCf3vQf7z0Yseo0RxAi3V', 'track_href': 'https://api.spotify.com/v1/tracks/4mCf3vQf7z0Yseo0RxAi3V', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4mCf3vQf7z0Yseo0RxAi3V', 'duration_ms': 186467, 'time_signature': 3}",87,71,barbadian pop,186466,2016-01-28
1,Empire State Of Mind,JAY-Z,The Blueprint 3,"{'danceability': 0.491, 'energy': 0.956, 'key': 11, 'loudness': -1.538, 'mode': 1, 'speechiness': 0.392, 'acousticness': 0.0295, 'instrumentalness': 0, 'liveness': 0.46, 'valence': 0.811, 'tempo': 173.585, 'type': 'audio_features', 'id': '2igwFfvr1OAGX9SKDCPBwO', 'uri': 'spotify:track:2igwFfvr1OAGX9SKDCPBwO', 'track_href': 'https://api.spotify.com/v1/tracks/2igwFfvr1OAGX9SKDCPBwO', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2igwFfvr1OAGX9SKDCPBwO', 'duration_ms': 276920, 'time_signature': 4}",80,83,east coast hip hop,276920,2009-09-08
2,ARE WE STILL FRIENDS?,"Tyler, The Creator",IGOR,"{'danceability': 0.216, 'energy': 0.497, 'key': 10, 'loudness': -8.025, 'mode': 1, 'speechiness': 0.0371, 'acousticness': 0.128, 'instrumentalness': 2.39e-06, 'liveness': 0.111, 'valence': 0.313, 'tempo': 187.308, 'type': 'audio_features', 'id': '5TxRUOsGeWeRl3xOML59Ai', 'uri': 'spotify:track:5TxRUOsGeWeRl3xOML59Ai', 'track_href': 'https://api.spotify.com/v1/tracks/5TxRUOsGeWeRl3xOML59Ai', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5TxRUOsGeWeRl3xOML59Ai', 'duration_ms': 265480, 'time_signature': 3}",82,81,hip hop,265480,2019-05-17
3,i love you,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","{'danceability': 0.421, 'energy': 0.131, 'key': 0, 'loudness': -18.435, 'mode': 1, 'speechiness': 0.0382, 'acousticness': 0.952, 'instrumentalness': 0.00453, 'liveness': 0.109, 'valence': 0.12, 'tempo': 137.446, 'type': 'audio_features', 'id': '6CcJMwBtXByIz4zQLzFkKc', 'uri': 'spotify:track:6CcJMwBtXByIz4zQLzFkKc', 'track_href': 'https://api.spotify.com/v1/tracks/6CcJMwBtXByIz4zQLzFkKc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6CcJMwBtXByIz4zQLzFkKc', 'duration_ms': 291796, 'time_signature': 4}",86,81,art pop,291796,2019-03-29
4,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (2011 Remaster),"{'danceability': 0.411, 'energy': 0.404, 'key': 0, 'loudness': -9.928, 'mode': 0, 'speechiness': 0.0511, 'acousticness': 0.271, 'instrumentalness': 0, 'liveness': 0.3, 'valence': 0.226, 'tempo': 71.068, 'type': 'audio_features', 'id': '4u7EnebtmKWzUH433cf5Qv', 'uri': 'spotify:track:4u7EnebtmKWzUH433cf5Qv', 'track_href': 'https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4u7EnebtmKWzUH433cf5Qv', 'duration_ms': 354320, 'time_signature': 4}",81,80,classic rock,354320,1975-11-21
5,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,"{'danceability': 0.691, 'energy': 0.631, 'key': 2, 'loudness': -6.478, 'mode': 1, 'speechiness': 0.0368, 'acousticness': 0.0483, 'instrumentalness': 1.13e-05, 'liveness': 0.104, 'valence': 0.8, 'tempo': 92.004, 'type': 'audio_features', 'id': '086myS9r57YsLbJpU0TgK9', 'uri': 'spotify:track:086myS9r57YsLbJpU0TgK9', 'track_href': 'https://api.spotify.com/v1/tracks/086myS9r57YsLbJpU0TgK9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/086myS9r57YsLbJpU0TgK9', 'duration_ms': 161124, 'time_signature': 4}",82,87,garage rock,161123,2013-09-09
6,Without Me,Eminem,The Eminem Show,"{'danceability': 0.908, 'energy': 0.669, 'key': 7, 'loudness': -2.827, 'mode': 1, 'speechiness': 0.0738, 'acousticness': 0.00286, 'instrumentalness': 0, 'liveness': 0.237, 'valence': 0.662, 'tempo': 112.238, 'type': 'audio_features', 'id': '7lQ8MOhq6IN2w8EYcFNSUk', 'uri': 'spotify:track:7lQ8MOhq6IN2w8EYcFNSUk', 'track_href': 'https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk', 'duration_ms': 290320, 'time_signature': 4}",87,88,detroit hip hop,290320,2002-05-26
7,no tears left to cry,Ariana Grande,no tears left to cry,"{'danceability': 0.703, 'energy': 0.696, 'key': 0, 'loudness': -5.482, 'mode': 1, 'speechiness': 0.0529, 'acousticness': 0.0375, 'instrumentalness': 5.65e-06, 'liveness': 0.274, 'valence': 0.366, 'tempo': 121.969, 'type': 'audio_features', 'id': '5SxkdsY1ufZzoq9iXceLw9', 'uri': 'spotify:track:5SxkdsY1ufZzoq9iXceLw9', 'track_href': 'https://api.spotify.com/v1/tracks/5SxkdsY1ufZzoq9iXceLw9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5SxkdsY1ufZzoq9iXceLw9', 'duration_ms': 205947, 'time_signature': 4}",90,1,pop,205946,2018-04-20
8,The Hills,The Weeknd,Beauty Behind The Madness,"{'danceability': 0.585, 'energy': 0.564, 'key': 0, 'loudness': -7.063, 'mode': 0, 'speechiness': 0.0515, 'acousticness': 0.0671, 'instrumentalness': 0, 'liveness': 0.135, 'valence': 0.137, 'tempo': 113.003, 'type': 'audio_features', 'id': '7fBv7CLKzipRk6EC6TWHOB', 'uri': 'spotify:track:7fBv7CLKzipRk6EC6TWHOB', 'track_href': 'https://api.spotify.com/v1/tracks/7fBv7CLKzipRk6EC6TWHOB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7fBv7CLKzipRk6EC6TWHOB', 'duration_ms': 242253, 'time_signature': 4}",91,86,canadian contemporary r&b,242253,2015-08-28
9,History,One Direction,Made In The A.M. (Deluxe Edition),"{'danceability': 0.655, 'energy': 0.697, 'key': 11, 'loudness': -4.421, 'mode': 1, 'speechiness': 0.0493, 'acousticness': 0.0359, 'instrumentalness': 0, 'liveness': 0.0646, 'valence': 0.802, 'tempo': 86.704, 'type': 'audio_features', 'id': '0HMjXBAZmSYOTTi33WpMso', 'uri': 'spotify:track:0HMjXBAZmSYOTTi33WpMso', 'track_href': 'https://api.spotify.com/v1/tracks/0HMjXBAZmSYOTTi33WpMso', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0HMjXBAZmSYOTTi33WpMso', 'duration_ms': 187427, 'time_signature': 4}",81,72,boy band,187426,2015-11-13
